IK14,Disease,y,mech_fitness,ot_genetic_association_max,ot_genetic_association_mean,ot_genetic_literature_max,ot_genetic_literature_mean,ot_animal_model_max,ot_animal_model_mean,ot_affected_pathway_max,ot_affected_pathway_mean,ot_rna_expression_max,ot_rna_expression_mean,ot_somatic_mutation_max,ot_somatic_mutation_mean,ot_clinical_max,ot_clinical_mean,ot_literature_max,ot_literature_mean,ot_best_overall,ot_n_targets_matched,has_ot,mech_resid,ot_resid
DDLPYOCJHQSVSZ,Type 1 Diabetes,1,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4852976461600768,0.4852976461600768,0.4077025536505603,0.2957191726338931,0.4852976461600768,2,1,4.700000000000003,-0.19622550360993857
RJMUSRYZPJIFPJ,Covid19,1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-8.57142857142857,0.0
HWXVIOGONBBTBY,Biochemical Relapse After Definitive Treatment for Prostate Cancer,1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
MQXWPWOCXGARRK,Amyotrophic Lateral Sclerosis,1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6125127685989258,0.6125127685989258,0.0,0.0,0.6125127685989258,3,1,-8.5,-0.032329063681247994
WDZCUPBHRAEYDL,HIV; Tuberculosis,1,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9.0,0.0
NHTGHBARYWONDQ,Breast Cancer,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-37.475,-0.7455340400381703
ZQPDJCIXJHUERQ,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08411566195128783,0.08411566195128783,0.08411566195128783,1,1,0.0,0.0
ZQPDJCIXJHUERQ,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,1,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08411566195128783,0.08411566195128783,0.08411566195128783,1,1,0.0,0.0
OZOGDCZJYVSUBR,COVID-19,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-16.888888888888886,-0.23227039974824495
ZCGNOVWYSGBHAU,Covid19,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13.42857142857143,0.0
UZWDCWONPYILKI,Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,1,52.0,0.8613875597308851,0.6718745270244306,0.547137717850459,0.2735688589252295,0.4509542000108353,0.4476364514568031,0.8404053990323351,0.8104417224431095,0.0,0.0,0.9786685698821267,0.9637369733745645,0.9885823439759772,0.9885806996576305,0.9936678946025824,0.9878564201686084,0.9936678946025824,2,1,-14.0,-0.00035350221133434445
VUAFHZCUKUDDBC,Covid19,1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-16.57142857142857,0.0
MVGWUTBTXDYMND,Crohn's Disease,1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6324140587374063,0.6324140587374063,0.09449157493788264,0.09449157493788264,0.6324140587374063,1,1,10.0,0.07751819995644049
JPIAJLPRTOWAEC,Autosomal Dominant Polycystic Kidney Disease,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37472744189380297,0.37472744189380297,0.37472744189380297,1,1,0.0,0.0
JNPRPMBJODOFEC,Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,1,80.0,0.12775057707669954,0.12775057707669954,0.0,0.0,0.0,0.0,0.8574552180139827,0.8574552180139827,0.0,0.0,0.9451950847044938,0.9451950847044938,0.16077395944124118,0.16077395944124118,0.9943748990252511,0.9943748990252511,0.9943748990252511,1,1,14.0,0.00035350221133434445
PSIFNNKUMBGKDQ,Cancer Patients With COVID-19 Infection,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3084875187862293,0.3084875187862293,0.3084875187862293,1,1,0.0,0.0
JGCMEBMXRHSZKX,Chronic Thromboembolic Pulmonary Hypertension,1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045594809820871586,0.045594809820871586,0.045594809820871586,1,1,3.5,0.008443483300161404
YQNQNVDNTFHQSW,COVID-19,1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-16.888888888888886,-0.23227039974824495
KGFYHTZWPPHNLQ,COVID-19,1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6431879434284122,0.6431879434284122,0.6397563084818845,0.6397563084818845,0.6431879434284122,1,1,-9.888888888888886,0.4109175436801673
LSXUTRRVVSPWDZ,Cell Carcinoma,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7480623209601225,0.7480623209601225,0.07599134970145263,0.07599134970145263,0.8337586934879897,0.8337586934879897,0.8337586934879897,1,1,-13.333333333333336,-0.0869967140732012
RKUNBYITZUJHSG,Myopia,1,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
RYYVLZVUVIJVGH,Apnea of Prematurity,1,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
KZSKGLFYQAYZCO,Primary Sclerosing Cholangitis,1,42.0,0.0,0.0,0.0,0.0,0.3951364427842934,0.3951364427842934,0.0,0.0,0.0,0.0,0.0,0.0,0.5119743146989797,0.5119743146989797,0.20393469056969585,0.20393469056969585,0.5119743146989797,1,1,0.0,0.0
DCYBPMFXJCWXNB,"Leukemia, Myeloid, Acute",1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
VLULRUCCHYVXOH,metastatic colorectal cancer,1,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
KTUFNOKKBVMGRW,Loiasis,1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06079307976116211,0.06079307976116211,0.0,0.0,0.06079307976116211,2,1,0.0,0.0
NHTKGYOMICWFQZ,Tract Cancer,1,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6779750521639097,0.6779750521639097,0.2579069105368555,0.2579069105368555,0.6779750521639097,1,1,0.0,0.0
PCHKPVIQAHNQLW,Ovarian Cancer,1,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9764449920295507,0.9764449920295507,0.9378797457313377,0.5380781053454393,0.9764449920295507,2,1,1.0,0.10568854888560952
LCFFREMLXLZNHE,Pemphigus,1,66.0,0.0,0.0,0.0,0.0,0.26013358829801264,0.26013358829801264,0.0,0.0,0.0,0.0,0.0,0.0,0.2566818923249066,0.2566818923249066,0.2841015217435338,0.2841015217435338,0.2841015217435338,1,1,0.0,0.0
VUJZFNSWCNSGDV,Nasopharyngeal Carcinoma,1,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
BZZKEPGENYLQSC,Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis,1,60.0,0.750248955306377,0.750248955306377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6536431905776742,0.6536431905776742,0.1502478783608893,0.1502478783608893,0.750248955306377,1,1,0.0,0.0
WQZGKKKJIJFFOK,Urinary Tract Infections,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
CUHVIMMYOGQXCV,Withdrawal Syndrome,1,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7380900220553663,0.7380900220553663,0.0,0.0,0.7380900220553663,1,1,0.0,0.0
URCMKDJBULWNAI,Cough,1,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04559480982087158,0.04559480982087158,0.051674117796987794,0.051674117796987794,0.051674117796987794,1,1,0.0,0.0
LNEPOXFFQSENCJ,Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6717792403438764,0.6647258277650561,0.1281017045625051,0.08252041149474652,0.6717792403438764,4,1,0.0,0.0
XYFPWWZEPKGCCK,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,1,88.0,0.0,0.0,0.0,0.0,0.6667803743076145,0.6667803743076145,0.0,0.0,0.0,0.0,0.0,0.0,0.9256379754463828,0.9256379754463828,0.17430593287912993,0.17430593287912993,0.9256379754463828,1,1,11.0,0.3725319592146369
MBOMYENWWXQSNW,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,1,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18057405701710896,0.18057405701710902,0.012158615952232422,0.00031996357769032693,0.18057405701710896,38,1,-11.0,-0.372531959214637
PSIFNNKUMBGKDQ,NAFLD - Nonalcoholic Fatty Liver Disease,1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4627028848488449,0.4627028848488449,0.74142187536806,0.74142187536806,0.74142187536806,1,1,0.0,0.0
HMABYWSNWIZPAG,Endometrial Cancer,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4877086579263511,0.4877086579263511,0.23301538046789178,0.11650769023394589,0.4877086579263511,2,1,-1.6666666666666643,0.16397912931565456
GEJDGVNQKABXKG,Tourette Syndrome,1,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5511494433677947,0.5511494433677947,0.09441360286568456,0.09441360286568456,0.5511494433677947,1,1,0.0,0.0
YFHRCLAKZBDRHN,"Polycystic Kidney, Autosomal Dominant",1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-20.0,0.0
ISBHYKVAFKTATD,Atopic Dermatitis,1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-31.0,0.0
HKTBYUWLRDZAJK,Prostate Cancer,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-29.25,-0.8525415701825484
KDGFLJKFZUIJMX,Lung Cancer,1,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.979400228199195,0.979400228199195,0.0,0.0,0.8786863375545856,0.8786863375545856,0.9884617312605192,0.9884617312605192,0.9977179089245308,0.9977179089245308,0.9977179089245308,1,1,27.548387096774192,0.05858331490354196
IEDVJHCEMCRBQM,Idiopathic Pulmonary Fibrosis,1,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-41.0,-0.48128711791489454
PKWRMUKBEYJEIX,Solid Tumors,1,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-1.5,0.0
PNDKCRDVVKJPKG,Nonalcoholic Steatohepatitis,1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2.3333333333333357,0.0
NGYNBSHYFOFVLS,Disease Progression in Chronic Obstructive Pulmonary Disease,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
XAUDJQYHKZQPEU,Acute Myeloid Leukemia,1,64.0,0.8274321824850255,0.41371609124251274,0.607930797611621,0.3039653988058105,0.0,0.0,0.607930797611621,0.3039653988058105,0.0,0.0,0.8514596149150455,0.42572980745752276,0.9720979202577157,0.9720979202577157,0.9880956737828811,0.962225604905148,0.9880956737828811,2,1,1.8181818181818201,0.08801485884125282
ZHKNLJLMDFQVHJ,diabeTes,1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
WKDNQONLGXOZRG,Alzheimer's Disease,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.5,-0.04672231723876279
XZWYZXLIPXDOLR,Type 2 Diabetes,1,74.0,0.0,0.0,0.3039653988058105,0.3039653988058105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986081372456911,0.9986081372456911,0.17827377545849124,0.17827377545849124,0.9986081372456911,1,1,14.460526315789473,0.01846816175293009
XZXHXSATPCNXJR,Advanced Pancreatic Cancer,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
WHMMKPWGWNYYFE,Acute Leukemia,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9383647497591283,0.9383647497591283,0.954127706448778,0.954127706448778,0.954127706448778,1,1,0.0,0.0
AHJRHEGDXFFMBM,Breast Cancer,1,73.0,0.40465890500366697,0.13488630166788898,0.0,0.0,0.0,0.0,0.43002592936960776,0.2760647214616581,0.0,0.0,0.8699743018321302,0.7220304019411355,0.9857851763693943,0.97747553218748,0.9824509820474594,0.8494978740669875,0.9857851763693943,3,1,15.524999999999999,0.24025113633122408
JHDKZFFAIZKUCU,Acute Myeloid Leukemia,1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5730989691751603,0.5730989691751603,0.8841059729492219,0.7674877881932115,0.8841059729492219,3,1,-24.18181818181818,-0.015974841992406397
PJHKBYALYHRYSK,Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),1,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
TYNLGDBUJLVSMA,epidermolysis bullosa,1,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
PRAAPINBUWJLGA,With Melanoma,1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
KSGCNXAZROJSNW,Duchenne Muscular Dystrophy,1,55.0,0.4377101742803672,0.4377101742803672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08274613634158175,0.08274613634158175,0.657912430505082,0.657912430505082,0.657912430505082,1,1,18.799999999999997,-0.056770021722748254
WDOGQTQEKVLZIJ,Subjects With Platinum Resistant Ovarian Cancer,1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
XXSMGPRMXLTPCZ,Rheumatoid Arthritis,1,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-23.42553191489361,-0.8888518903144148
HOIIHACBCFLJET,Alzheimer's Disease,1,18.0,0.46722317238762784,0.46722317238762784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46722317238762784,1,1,-10.5,0.42050085514886504
XYFPWWZEPKGCCK,Hodgkin Lymphoma,1,31.0,0.0,0.0,0.0,0.0,0.7245157131055937,0.7245157131055937,0.0,0.0,0.0,0.0,0.0,0.0,0.15198269940290526,0.15198269940290526,0.024317231904464845,0.024317231904464845,0.7245157131055937,1,1,0.0,0.0
JGPMMRGNQUBGND,Duchenne Muscular Dystrophy (DMD),1,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
WKDNQONLGXOZRG,Alzheimer's Disease,1,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,11.5,-0.04672231723876279
IUBSYMUCCVWXPE,Chronic Obstructive Pulmonary Disease,1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4926350331479171,0.4926350331479171,0.0975928146592362,0.0975928146592362,0.4926350331479171,1,1,-45.76923076923077,-0.4408793494966311
AKQXQLUNFKDZBN,Parkinson's Disease,0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.9166666666666643,0.0
CYXKNKQEMFBLER,"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
KLPWJLBORRMFGK,Attention Deficit Hyperactivity Disorder (ADHD),1,28.0,0.6962954402716941,0.6962954402716941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6248566527177858,0.6248566527177858,0.6497561969189037,0.6497561969189037,0.6962954402716941,1,1,0.0,0.0
PLHJCIYEEKOWNM,Myelodysplastic Syndromes,1,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
QYSXJUFSXHHAJI,Asthma,1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05799570822066135,0.05799570822066135,0.0,0.0,0.5521432914136829,0.5521432914136829,0.874740171697202,0.874740171697202,0.874740171697202,1,1,-24.0,0.13275295524241537
CMQOKZCYVZFZLZ,Painful Diabetic Peripheral Neuropathy (PDPN),1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
JUSFANSTBFGBAF,Advanced Gastric Adenocarcinoma,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6395938599872263,0.6395938599872263,0.0,0.0,0.12040209375469665,0.12040209375469665,0.6395938599872263,1,1,-2.5,0.03482936861316577
JDUBGYFRJFOXQC,Advanced Gastric Adenocarcinoma,1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5699351227608948,0.5699351227608948,0.12158615952232422,0.12158615952232422,0.36483781754193534,0.21661501613662135,0.5699351227608948,2,1,2.5,-0.03482936861316577
XLCNVWUKICLURR,Plasmodium Falciparum Infection,1,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0
