row_idx,y,p,NCT_ID,Disease,Drug_Clean,Phase,risk_tolerance,confidence_tier,tier_threshold,safety_cytotoxic_cap,cap_reason,p_adj,cap_applied
283,1,0.7967840697522494,NCT02585388,Metastatic Breast Cancer,anastrozole,Phase 2,88.0,A_tox_tolerated,0.65,0,,0.7967840697522494,0
285,1,0.1590719857119018,NCT02439138,Waldenstrom's Macroglobulinemia,idelalisib,Phase 2,72.0,A_tox_tolerated,0.65,0,,0.1590719857119018,0
286,1,0.018255559750646556,NCT02495233,Lung Cancer,gilteritinib,Phase 2,90.0,A_tox_tolerated,0.65,0,,0.018255559750646556,0
287,1,0.8005213431714907,NCT02585388,Metastatic Breast Cancer,letrozole,Phase 2,88.0,A_tox_tolerated,0.65,0,,0.8005213431714907,0
288,1,0.7832175148170792,NCT02457910,Metastatic Breast Cancer,Taselisib,Phase 2,88.0,A_tox_tolerated,0.65,0,,0.7832175148170792,0
289,1,0.002470134365508073,NCT02443194,Depression,duloxetine,Phase 3,40.0,B_serious_chronic,0.6,0,,0.002470134365508073,0
293,1,0.01569205178178046,NCT02173756,Cancer,morphine,Phase 3,85.0,A_tox_tolerated,0.65,0,,0.01569205178178046,0
294,1,0.003122917066879188,NCT01954082,retinopathy of prematurity,myo-Inositol 5%,Phase 3,55.0,B_serious_chronic,0.6,0,,0.003122917066879188,0
295,1,0.17766556780941167,NCT01808950,Cell Carcinoma,0.06% Resiquimod - C,Phase 2,85.0,A_tox_tolerated,0.65,0,,0.17766556780941167,0
296,1,0.022123123682483738,NCT01888965,Colorectal and Pancreas Cancer,Dovitinib,Phase 2,95.0,A_tox_tolerated,0.65,0,,0.022123123682483738,0
297,1,0.064551226100954,NCT01761747,Squamous Cell Lung and Head and Neck Cancer,ponatinib,Phase 2/3,88.0,A_tox_tolerated,0.65,0,,0.064551226100954,0
299,1,0.004274749887160236,NCT01266070,Von Hippel-Lindau Syndrome,Dovitinib,Phase 2,72.0,A_tox_tolerated,0.65,0,,0.004274749887160236,0
300,1,0.9990399885986541,NCT01560585,Alzheimer's Disease,isotretinoin,Phase 2,60.0,B_serious_chronic,0.6,0,,0.9990399885986541,0
301,1,0.0005369505227658261,NCT00978432,Cell Lymphoma,panobinostat,Phase 2,85.0,A_tox_tolerated,0.65,0,,0.0005369505227658261,0
302,1,0.0005824740598143395,NCT01792635,Type 2 Diabetes Mellitus,PF-05175157,Phase 2,40.0,B_serious_chronic,0.6,0,,0.0005824740598143395,0
303,1,0.2073328713142551,NCT01631279,"Unspecified Adult Solid Tumor, Protocol Specific",TH-4000 (Tarloxotinib),Phase 2,88.0,A_tox_tolerated,0.65,0,,0.2073328713142551,0
305,1,0.014520994013014751,NCT01611662,Bladder Cancer,gemcitabine,Phase 2,75.0,A_tox_tolerated,0.65,1,cytotoxic_managed_toxicity,0.014520994013014751,1
306,1,0.029728340983810886,NCT01319539,Breast Cancer,Akt Inhibitor MK2206,Phase 2,75.0,A_tox_tolerated,0.65,0,,0.029728340983810886,0
307,1,0.0002663495573817339,NCT01351675,Type 2 Diabetes,Bardoxolone Methyl:,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0002663495573817339,0
308,1,0.21177712392825104,NCT01491633,Lung Cancer,Dasatinib,Phase 2,90.0,A_tox_tolerated,0.65,0,,0.21177712392825104,0
309,1,0.5989191299380016,NCT01483690,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,decitabine,Phase 2,90.0,A_tox_tolerated,0.65,1,cytotoxic_managed_toxicity,0.15,1
310,1,0.662691195465112,NCT01483690,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,vorinostat,Phase 2,90.0,A_tox_tolerated,0.65,1,cytotoxic_managed_toxicity,0.15,1
311,1,0.01451491336269243,NCT01277510,"Chronic Kidney Disease; Hyperparathyroidism; Hyperparathyroidism, Secondary; Kidney Disease; Secondary Hyperparathyroidism",cinacalcet,Phase 3,60.0,B_serious_chronic,0.6,0,,0.01451491336269243,0
312,1,0.10677130519936213,NCT01388647,Operable HER2 Positive Breast Cancer,eribulin,Phase 2,80.0,A_tox_tolerated,0.65,0,,0.10677130519936213,0
313,1,0.001940165763197331,NCT01151137,Atrial Fibrillation,dronedarone,Phase 3,45.0,B_serious_chronic,0.6,0,,0.001940165763197331,0
314,1,0.2601543932081688,NCT01108458,Pancreatic Cancer,Erlotinib,Phase 2,95.0,A_tox_tolerated,0.65,0,,0.2601543932081688,0
315,1,0.00021873658182556413,NCT01127542,Chronic Lymphocytic Leukaemia,lenalidomide,Phase 2,70.0,A_tox_tolerated,0.65,0,,0.00021873658182556413,0
316,1,0.0036493763244998334,NCT01179737,Pulmonary Arterial Hypertension,nilotinib,Phase 2,80.0,A_tox_tolerated,0.65,0,,0.0036493763244998334,0
317,1,0.0008274444373702261,NCT01204853,"Hypertension, Pulmonary",sitaxentan,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.0008274444373702261,0
318,1,0.0008356282379553645,NCT01210443,"Hypertension, Pulmonary",sitaxentan,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.0008356282379553645,0
319,1,0.07168482515061056,NCT00796510,Pulmonary Arterial Hypertension; Pulmonary Hypertension,sitaxentan,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.07168482515061056,0
320,0,0.0004676650143590884,NCT07194694,Pain,bupivacaine,Phase 3,15.0,C_benign,0.5,0,,0.0004676650143590884,0
321,0,0.0006127451836965085,NCT06576882,Helicobacter Pylori Infection; Gastritis; Vonoprazan; Adolescents,amoxicillin,Phase 3,28.0,C_benign,0.5,0,,0.0006127451836965085,0
322,0,0.01041739385997233,NCT06318481,"Stent Thrombosis; Myocardial Infarction, Acute",clopidogrel,Phase 3,82.0,A_tox_tolerated,0.65,0,,0.01041739385997233,0
323,0,2.2939712110329497e-05,NCT06192108,Type 2 Diabetes,dapagliflozin,Phase 3,40.0,B_serious_chronic,0.6,0,,2.2939712110329497e-05,0
324,0,2.234256586357865e-05,NCT06415773,Type 2 Diabetes,dapagliflozin,Phase 3,40.0,B_serious_chronic,0.6,0,,2.234256586357865e-05,0
325,0,0.0006671386229972719,NCT07028697,insomnia,daridorexant,Phase 3,15.0,C_benign,0.5,0,,0.0006671386229972719,0
326,0,0.0001863613437759153,NCT07289945,Early Recovery in Elderly Patients; Cognitive Function,desflurane,Phase 3,10.0,C_benign,0.5,0,,0.0001863613437759153,0
327,0,1.273284247395617e-05,NCT05214911,allergic rhinitis,desloratadine,Phase 3,8.0,C_benign,0.5,0,,1.273284247395617e-05,0
328,0,0.001939479149235183,NCT07326904,Gastro Oesophageal Reflux Disease,esomeprazole,Phase 3,20.0,C_benign,0.5,0,,0.001939479149235183,0
329,0,0.0013437761474908716,NCT06590870,Procedural Pain,fentanyl,Phase 3,8.0,C_benign,0.5,0,,0.0013437761474908716,0
330,0,0.012029023981399777,NCT06206408,hot flashes,fezolinetant,Phase 3,8.0,C_benign,0.5,0,,0.012029023981399777,0
331,0,0.002258981930336272,NCT06685679,"Neonatal Diseases and Abnormalities; Neonatal Mortality; Pulmonary Arterial Hypertension; Pulmonary Arterial Hypertension, Children",melatonin,Phase 3,50.0,B_serious_chronic,0.6,0,,0.002258981930336272,0
332,0,0.003094960178171214,NCT05486416,General Anesthesia,propofol,Phase 3,10.0,C_benign,0.5,0,,0.003094960178171214,0
333,0,0.00020976364147522278,NCT06391931,Anesthesia,propofol,Phase 3,15.0,C_benign,0.5,0,,0.00020976364147522278,0
334,0,0.016329055490589058,NCT06714669,intraoperative hypotension,remimazolam,Phase 3,45.0,B_serious_chronic,0.6,0,,0.016329055490589058,0
335,0,0.0001787228198815077,NCT06744777,Dengue Hemorrhagic Fever,ribavirin,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.0001787228198815077,0
336,0,7.531730239343013e-05,NCT07289945,Early Recovery in Elderly Patients; Cognitive Function,sevoflurane,Phase 3,10.0,C_benign,0.5,0,,7.531730239343013e-05,0
337,0,0.00943404238478413,NCT06466369,BPH With Other Lower Urinary Tract Symptoms,tadalafil,Phase 3,15.0,C_benign,0.5,0,,0.00943404238478413,0
338,0,0.11256616944146222,NCT06258785,postoperative urinary retention,tizanidine,Phase 3,12.0,C_benign,0.5,0,,0.11256616944146222,0
339,0,1.659790474837171e-05,NCT05761574,Pain,acetaminophen,Phase 3,15.0,C_benign,0.5,0,,1.659790474837171e-05,0
340,0,2.3595264306705066e-05,NCT05586971,gout,allopurinol,Phase 3,18.0,C_benign,0.5,0,,2.3595264306705066e-05,0
341,0,2.223969387270113e-05,NCT06088043,plaque psoriasis,apremilast,Phase 3,25.0,C_benign,0.5,0,,2.223969387270113e-05,0
342,0,2.223969387270113e-05,NCT06108544,plaque psoriasis,apremilast,Phase 3,25.0,C_benign,0.5,0,,2.223969387270113e-05,0
343,0,6.51695835756895e-05,NCT05861427,migraine,atogepant,Phase 3,20.0,C_benign,0.5,0,,6.51695835756895e-05,0
344,0,0.0009723660147804017,NCT05878093,Chronic Rhinosinusitis With Nasal Polyps,budesonide,Phase 3,15.0,C_benign,0.5,0,,0.0009723660147804017,0
345,0,0.0005920994190896799,NCT06165679,hemodynamic instability,bupivacaine,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.0005920994190896799,0
346,0,0.0004749328430268456,NCT06616441,postoperative pain,bupivacaine,Phase 3,8.0,C_benign,0.5,0,,0.0004749328430268456,0
347,0,9.853010192760304e-05,NCT05682326,anemia,daprodustat,Phase 3,40.0,B_serious_chronic,0.6,0,,9.853010192760304e-05,0
348,0,0.0006305111226421407,NCT06010693,insomnia,daridorexant,Phase 3,15.0,C_benign,0.5,0,,0.0006305111226421407,0
349,0,2.9137584172974733e-05,NCT05988671,Laparoscopic Cholecystectomy; Postoperative Nausea and Vomiting,dexamethasone,Phase 3,15.0,C_benign,0.5,0,,2.9137584172974733e-05,0
350,0,1.5281999820966333e-05,NCT05763875,Hypercholesterolemia,ezetimibe,Phase 3,38.0,C_benign,0.5,0,,1.5281999820966333e-05,0
351,0,0.00023000376569133927,NCT05692154,seasonal allergic rhinitis,fexofenadine,Phase 3,8.0,C_benign,0.5,0,,0.00023000376569133927,0
352,0,0.00041546309639380475,NCT05690698,Hyperactive Delirium,haloperidol,Phase 3,40.0,B_serious_chronic,0.6,0,,0.00041546309639380475,0
353,0,0.00014141738874032787,NCT05754996,hepatic encephalopathy,lactulose,Phase 3,75.0,A_tox_tolerated,0.65,0,,0.00014141738874032787,0
354,0,2.7385200492804707e-05,NCT05794555,Cirrhosis,lactulose,Phase 3,80.0,A_tox_tolerated,0.65,0,,2.7385200492804707e-05,0
355,0,0.023643361825433036,NCT05763823,Prevention of Cytomegalovirus Infection,letermovir,Phase 3,65.0,B_serious_chronic,0.6,0,,0.023643361825433036,0
356,0,0.00024790147452846516,NCT06846307,traumatic brain injury,mannitol,Phase 3,82.0,A_tox_tolerated,0.65,0,,0.00024790147452846516,0
357,0,0.0011719404984469307,NCT06103188,Anxiety; Preoperative Anxiety,melatonin,Phase 3,15.0,C_benign,0.5,0,,0.0011719404984469307,0
358,0,0.0012679915402349046,NCT05680129,T2DM; Type 2 Diabetes Mellitus,metformin,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0012679915402349046,0
360,0,0.00015063967938652663,NCT06297954,upper gastrointestinal bleeding,metoclopramide,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.00015063967938652663,0
361,0,0.006095740013625379,NCT05458609,Alcohol Use Disorder,naltrexone,Phase 3,40.0,B_serious_chronic,0.6,0,,0.006095740013625379,0
362,0,0.0008009350129104727,NCT05630833,Recurrent urinary tract infections,nitrofurantoin,Phase 3,25.0,C_benign,0.5,0,,0.0008009350129104727,0
363,0,0.00015948967915280663,NCT05680870,in Cancer,omeprazole,Phase 3,85.0,A_tox_tolerated,0.65,0,,0.00015948967915280663,0
364,0,6.531145281605802e-05,NCT06165679,hemodynamic instability,prilocaine,Phase 3,80.0,A_tox_tolerated,0.65,0,,6.531145281605802e-05,0
365,0,0.0002645532985001721,NCT06091436,Infertility,progesterone,Phase 3,8.0,C_benign,0.5,0,,0.0002645532985001721,0
366,0,0.00032442374696752186,NCT05615025,"Anesthesia, General; Neuromuscular Transmission Disorders",propofol,Phase 3,30.0,C_benign,0.5,0,,0.00032442374696752186,0
367,0,0.0006493936859692488,NCT05836545,Healthy,remimazolam,Phase 3,5.0,C_benign,0.5,0,,0.0006493936859692488,0
368,0,0.0008143164609307936,NCT06013345,atrial fibrillation,remimazolam,Phase 3,55.0,B_serious_chronic,0.6,0,,0.0008143164609307936,0
369,0,0.0028701934368874425,NCT05810038,migraine,rimegepant,Phase 3,20.0,C_benign,0.5,0,,0.0028701934368874425,0
370,0,0.0016527835643764615,NCT05779241,Schizophrenia; Schizoaffective Disorder,risperidone,Phase 3,62.0,B_serious_chronic,0.6,0,,0.0016527835643764615,0
371,0,0.01285957580407152,NCT05773846,Post-surgical Pain,ropivacaine,Phase 3,8.0,C_benign,0.5,0,,0.01285957580407152,0
372,0,0.0001570494779852527,NCT05615025,"Anesthesia, General; Neuromuscular Transmission Disorders",sevoflurane,Phase 3,30.0,C_benign,0.5,0,,0.0001570494779852527,0
373,0,0.0005624904294890249,NCT06103825,sleep apnea,solriamfetol,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0005624904294890249,0
374,0,0.001901975174313736,NCT05753670,Postoperative Retention of Urine,tamsulosin,Phase 3,15.0,C_benign,0.5,0,,0.001901975174313736,0
375,0,0.00013247349907376333,NCT06135415,actinic keratosis,tirbanibulin,Phase 3,18.0,C_benign,0.5,0,,0.00013247349907376333,0
376,0,0.0035393962975440113,NCT06278402,Alopecia Areata; Alopecia Totalis; Alopecia Universalis,tofacitinib,Phase 3,10.0,C_benign,0.5,0,,0.0035393962975440113,0
377,0,0.0022832684271153958,NCT06215820,Acute Pain; Post Operative Pain; Pain,tramadol,Phase 3,8.0,C_benign,0.5,0,,0.0022832684271153958,0
378,0,0.0022832684271153958,NCT06215859,Acute Pain; Post Operative Pain; Pain,tramadol,Phase 3,8.0,C_benign,0.5,0,,0.0022832684271153958,0
379,0,0.0007789999555913319,NCT05811676,"Hemorrhage, Postpartum; Placenta Previa",tranexamic acid,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.0007789999555913319,0
380,0,2.7566802900399052e-05,NCT06288685,pain,triamcinolone,Phase 3,20.0,C_benign,0.5,0,,2.7566802900399052e-05,0
381,0,3.4459073403704545e-05,NCT06122649,plaque psoriasis,apremilast,Phase 3,25.0,C_benign,0.5,0,,3.4459073403704545e-05,0
382,0,0.0007403508223385784,NCT05639946,neuropathic pain,brivaracetam,Phase 3,25.0,C_benign,0.5,0,,0.0007403508223385784,0
383,0,0.0009422057594596191,NCT05726097,Colon Cancer; Inflammatory Bowel Diseases; Gastrointestinal Bleed; Colon Polyp,prucalopride,Phase 3,85.0,A_tox_tolerated,0.65,0,,0.0009422057594596191,0
384,0,0.0015351968478500887,NCT05174065,palmoplantar pustulosis,apremilast,Phase 3,15.0,C_benign,0.5,0,,0.0015351968478500887,0
385,0,0.0026179595687742955,NCT05216263,chronic migraine,atogepant,Phase 3,22.0,C_benign,0.5,0,,0.0026179595687742955,0
386,0,8.485046988951651e-05,NCT05311475,seasonal allergic rhinitis,azelastine,Phase 3,8.0,C_benign,0.5,0,,8.485046988951651e-05,0
387,0,8.997568974317644e-05,NCT05292586,asthma,beclomethasone dipropionate,Phase 3,42.0,B_serious_chronic,0.6,0,,8.997568974317644e-05,0
388,0,0.04065882617921271,NCT05656027,presbyopia,brimonidine,Phase 3,5.0,C_benign,0.5,0,,0.04065882617921271,0
389,0,0.0004676650143590884,NCT05624151,pain,bupivacaine,Phase 3,20.0,C_benign,0.5,0,,0.0004676650143590884,0
390,0,0.00027060985145236944,NCT05430217,Vertigo; Autonomic Dysfunction,buspirone,Phase 3,30.0,C_benign,0.5,0,,0.00027060985145236944,0
391,0,0.00017686350526655579,NCT05485805,Pain,caffeine,Phase 3,15.0,C_benign,0.5,0,,0.00017686350526655579,0
392,0,4.721729525342796e-05,NCT05439616,autism spectrum disorder,cariprazine,Phase 3,20.0,C_benign,0.5,0,,4.721729525342796e-05,0
394,0,0.00024130699025642354,NCT05196347,Chronic Kidney Diseases,dapagliflozin,Phase 3,60.0,B_serious_chronic,0.6,0,,0.00024130699025642354,0
395,0,0.008043632324222763,NCT05438875,purpura,eltrombopag,Phase 3,40.0,B_serious_chronic,0.6,0,,0.008043632324222763,0
396,0,0.0011579867926398732,NCT05364190,Chronic Heart Failure; Acute Heart Failure; Diabetes Mellitus,empagliflozin,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.0011579867926398732,0
397,0,0.00011387470759027636,NCT05950061,Major Depressive Disorder,escitalopram,Phase 3,42.0,B_serious_chronic,0.6,0,,0.00011387470759027636,0
398,0,0.002546230156501299,NCT05617820,Dyspareunia,estradiol,Phase 3,12.0,C_benign,0.5,0,,0.002546230156501299,0
399,0,0.000687384699780876,NCT05570292,Gastric Residual Volume,folic acid,Phase 3,8.0,C_benign,0.5,0,,0.000687384699780876,0
400,0,0.0015473355128468728,NCT05620641,Post Operative Nausea and Vomiting; Sleeve Gastrectomy; Morbid Obesity,gabapentin,Phase 3,30.0,C_benign,0.5,0,,0.0015473355128468728,0
402,0,0.0010186721174271546,NCT05475665,Essential Hypertension,irbesartan,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0010186721174271546,0
403,0,0.0010186721174271546,NCT05476354,Essential Hypertension,irbesartan,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0010186721174271546,0
404,0,2.8378926303043863e-05,NCT03941860,Multiple Myeloma,ixazomib citrate,Phase 3,82.0,A_tox_tolerated,0.65,0,,2.8378926303043863e-05,0
405,0,0.009208388095241344,NCT05233566,Postoperative Depression,ketamine,Phase 3,30.0,C_benign,0.5,0,,0.009208388095241344,0
406,0,8.69722865063222e-06,NCT05291598,total hip arthroplasty,ketorolac,Phase 3,25.0,C_benign,0.5,0,,8.69722865063222e-06,0
407,0,0.012858487619492815,NCT05629390,blepharitis,lotilaner,Phase 3,6.0,C_benign,0.5,0,,0.012858487619492815,0
408,0,0.9509896137718113,NCT05167825,Pulmonary Arterial Hypertension,macitentan,Phase 3,80.0,A_tox_tolerated,0.65,0,,0.9509896137718113,0
409,0,0.00013759715649009607,NCT05137717,cytomegalovirus infection,maribavir,Phase 3,55.0,B_serious_chronic,0.6,0,,0.00013759715649009607,0
410,0,0.0038647023874724936,NCT05174416,hypertrophic cardiomyopathy,mavacamten,Phase 3,70.0,A_tox_tolerated,0.65,0,,0.0038647023874724936,0
411,0,0.008001248690266576,NCT05414175,cardiomyopathy,mavacamten,Phase 3,75.0,A_tox_tolerated,0.65,0,,0.008001248690266576,0
413,0,0.011813190133125597,NCT04979806,Complicated Urinary Tract Infection; Acute Pyelonephritis,meropenem,Phase 3,55.0,B_serious_chronic,0.6,0,,0.011813190133125597,0
414,0,0.004142149133799533,NCT04826692,Huntington Disease,metformin,Phase 3,82.0,A_tox_tolerated,0.65,0,,0.004142149133799533,0
415,0,0.0002884874046266794,NCT05280496,Diabetes,metformin,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0002884874046266794,0
416,0,0.0017968254252161483,NCT05413369,Type 2 Diabetes Mellitus,metformin,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0017968254252161483,0
417,0,0.0005743157236275824,NCT05722951,Epilepsy,metformin,Phase 3,58.0,B_serious_chronic,0.6,0,,0.0005743157236275824,0
418,0,0.16650269967408773,NCT05097326,Labor induction,mifepristone,Phase 3,40.0,B_serious_chronic,0.6,0,,0.16650269967408773,0
419,0,0.0004820559457610899,NCT05097326,Labor induction,misoprostol,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0004820559457610899,0
420,0,0.000266385897986577,NCT05424445,Labor induction,misoprostol,Phase 3,40.0,B_serious_chronic,0.6,0,,0.000266385897986577,0
421,0,0.00025523089647934503,NCT05355974,Anesthesia-induced hypotension,norepinephrine,Phase 3,30.0,C_benign,0.5,0,,0.00025523089647934503,0
422,0,0.16235153143682274,NCT05027802,fibrodysplasia ossificans progressiva,palovarotene,Phase 3,75.0,A_tox_tolerated,0.65,0,,0.16235153143682274,0
423,0,0.0024136403933980423,NCT05223166,excessive daytime sleepiness,pitolisant,Phase 3,18.0,C_benign,0.5,0,,0.0024136403933980423,0
424,0,0.0168501342986121,NCT05458128,idiopathic hypersomnia,pitolisant,Phase 3,15.0,C_benign,0.5,0,,0.0168501342986121,0
425,0,0.0030221503284872634,NCT05478174,General Anesthesia,propofol,Phase 3,10.0,C_benign,0.5,0,,0.0030221503284872634,0
426,0,0.0028701934368874425,NCT05399485,migraine,rimegepant,Phase 3,20.0,C_benign,0.5,0,,0.0028701934368874425,0
427,0,0.0001931601363312334,NCT05369793,type 2 diabetes mellitus,roflumilast,Phase 3,40.0,B_serious_chronic,0.6,0,,0.0001931601363312334,0
428,0,3.2824777746295165e-05,NCT05301517,anemia,roxadustat,Phase 3,40.0,B_serious_chronic,0.6,0,,3.2824777746295165e-05,0
429,0,0.0009614035377227085,NCT05950061,Major Depressive Disorder,sertraline,Phase 3,42.0,B_serious_chronic,0.6,0,,0.0009614035377227085,0
430,0,0.0001278831791633579,NCT05072704,total hip arthroplasty,sufentanil,Phase 3,25.0,C_benign,0.5,0,,0.0001278831791633579,0
431,0,3.739153578998908e-05,NCT04937881,HIV infection,tenofovir alafenamide,Phase 3,62.0,B_serious_chronic,0.6,0,,3.739153578998908e-05,0
432,0,0.0027452444654326863,NCT06146478,Transfusion-dependent Beta-Thalassemia,thalidomide,Phase 3,62.0,B_serious_chronic,0.6,0,,0.0027452444654326863,0
433,0,0.06586631634709586,NCT05429671,Total Knee Arthoplasty,tobramycin,Phase 3,18.0,C_benign,0.5,0,,0.06586631634709586,0
434,0,0.004517652572433957,NCT07043049,Shivering,tramadol,Phase 3,6.0,C_benign,0.5,0,,0.004517652572433957,0
435,0,0.0007418207746178417,NCT05601882,atopic dermatitis,upadacitinib,Phase 3,20.0,C_benign,0.5,0,,0.0007418207746178417,0
436,0,5.721946630032591e-05,NCT06248931,migraine,valproic acid,Phase 3,20.0,C_benign,0.5,0,,5.721946630032591e-05,0
437,0,0.42794828108503646,NCT05320575,hemophagocytic lymphohistiocytosis,zanubrutinib,Phase 3,90.0,A_tox_tolerated,0.65,0,,0.42794828108503646,0
438,0,2.3002109759042334e-05,NCT05658380,Anesthesia,atropine,Phase 3,15.0,C_benign,0.5,0,,2.3002109759042334e-05,0
