NCT_ID,Drug_Clean,Disease,plausibility,primary_target,causal_chain,leak_check
NCT05253209,L-citrulline,Ventricular Septal Defect; Atrioventricular Septal Defect; Primum Atrial Septal Defect,22.0,"NO precursor (arginine->NO substrate, eNOS pathway)","L-citrulline -> raises arginine/NO -> vasodilation/endothelial function. For a structural congenital septal defect (VSD/ASD), the disease driver is an anatomic shunt; NO substrate may mitigate post-surgical pulmonary hypertension/endothelial dysfunction but does NOT correct the structural lesion. Off the primary anatomic causal driver; supportive at best.",clean - NO substrate vs anatomic septal defect mismatch
NCT06964165,niraparib,Ovarian Cancer,74.0,PARP1/2,"High-grade serous ovarian cancer has high rates of BRCA mutation/HRD -> strong reliance on PARP-mediated single-strand break repair. PARP inhibition -> synthetic-lethal DNA damage accumulation in HRD cells -> maintenance/treatment benefit. Ovarian is the prototypical HRD-enriched indication, so target-disease causal fit is high even in a partly unselected population.",clean
NCT05267106,pemigatinib,Glioblastoma; Adult-type Diffuse Gliomas,52.0,FGFR1-3 tyrosine kinase inhibitor,"Inhibits FGFR kinase -> blocks FGFR-driven proliferative/survival signaling. In gliomas a subset harbor FGFR fusions/alterations (e.g., FGFR3-TACC3), where FGFR is the oncogenic driver and inhibition is on-pathway. But glioblastoma broadly is FGFR-altered only in a minority and adds the blood-brain-barrier penetration problem for a small-molecule TKI, weakening reach to the CNS tumor. On-driver only in selected molecular subset.",clean
NCT05442775,Reldesemtiv,Amyotrophic Lateral Sclerosis,25.0,Fast skeletal muscle troponin activator,"Troponin sensitization to calcium -> increased force per neural input -> improved muscle output. In ALS the causal driver is motor-neuron degeneration; a muscle-contractility enhancer addresses a downstream symptomatic consequence (weakness), not the neurodegenerative driver, so disease-modifying registrational endpoints are unlikely to be reached.",clean
NCT05254990,Reparixin,Infectious Pneumonia; Severe COVID-19,48.0,CXCR1/CXCR2 (allosteric) inhibitor,"CXCR1/2 blockade -> reduced neutrophil recruitment/activation. Severe COVID-19 lung injury is partly driven by neutrophilic hyperinflammation, so dampening that arm is a plausible contributor mechanism, but it addresses one inflammatory node among many (not the viral driver or the broader cytokine storm).",clean
NCT05019742,SPH3127,Ulcerative Colitis,15.0,Direct renin inhibitor,"Renin inhibition -> reduced angiotensin II. Ulcerative colitis is driven by mucosal immune dysregulation/barrier dysfunction; the renin-angiotensin system has only a weak, indirect link to gut inflammation and is not a core UC driver. Largely off the causal pathway.",clean
NCT05079230,venetoclax,Acute Myeloid Leukemia,82.0,BCL-2 (anti-apoptotic protein),Venetoclax is a BCL-2 BH3-mimetic -> AML blasts depend heavily on BCL-2 for apoptotic evasion/survival. Restoring apoptosis hits a central survival dependency; strong target-validation in AML (esp. combinations).,clean
NCT04856176,pemetrexed,Advance Non-small Cell Lung Cancer,76.0,Antifolate - inhibits thymidylate synthase (and DHFR/GARFT),Thymidylate synthase inhibition depletes nucleotides -> blocks DNA synthesis -> cytotoxic to proliferating non-small-cell lung cancer cells (esp. non-squamous). Antimetabolite chemotherapy is an established on-mechanism cytotoxic for NSCLC; broad but well-validated for this histology.,clean
NCT04141995,fluorouracil,Pancreatic Cancer,66.0,thymidylate synthase (antimetabolite),"TS inhibition/DNA-synthesis arrest -> kills proliferating pancreatic ductal adenocarcinoma cells. 5-FU (as part of FOLFIRINOX) targets the tumor proliferative driver. PDAC is biologically resistant (dense stroma, low response), so mechanism is on-pathway but the achievable clinical benefit ceiling is modest -> moderate plausibility.",clean
NCT04601467,AZD5718,Acute Coronary Syndrome,30.0,FLAP (5-lipoxygenase-activating protein) inhibitor -> blocks leukotriene synthesis,FLAP inhibition -> reduced leukotriene-mediated vascular inflammation -> intended reduction of atherothrombotic events in ACS. Leukotriene-driven inflammation is a contributory but not dominant causal driver of recurrent ACS events; human causal validation for the leukotriene axis in hard CV outcomes is limited. Peripheral inflammatory node.,clean
NCT04778397,azacitidine,Acute Myeloid Leukemia,74.0,DNA methyltransferase (DNMT) — hypomethylating agent,"AML, particularly in MDS-related/elderly disease, involves aberrant DNA hypermethylation silencing tumor-suppressor/differentiation genes. Azacitidine incorporates into DNA, depletes DNMT, reverses hypermethylation, and restores differentiation/apoptosis. The mechanism engages a real epigenetic driver of myeloid malignancy, though it is a broad cytotoxic/epigenetic rather than a single oncogenic-driver target.",clean — hypomethylating mechanism on myeloid epigenetic dysregulation
NCT04641273,BAY1817080,Participants With Diabetic Neuropathic Pain,40.0,P2X3 receptor antagonist,"P2X3 antagonism -> blocks ATP-mediated sensory afferent signaling. For diabetic neuropathic pain, P2X3 on sensory neurons is a plausible nociceptive transduction node, but diabetic neuropathy pain is driven by multiple mechanisms (sodium channels, central sensitization); P2X3 is a partial contributor. Endpoint reach uncertain.",clean
NCT04826484,bupivacaine,Urologic Diseases; Hypospadias; Undescended Testes; Chordee; Hydrocele; Orchiectomy,82.0,Voltage-gated sodium channels (Nav1.x) on peripheral nociceptive axons,Caudal/regional Nav blockade -> conduction block of afferents from the operative urogenital field (hypospadias/orchiectomy etc.) -> abolished intra/postoperative pain transmission. Direct on-pathway peri-procedural analgesia for pediatric urologic surgery; mechanism and delivery align with the nociceptive source.,clean
NCT04947579,CC-99677,"Spondylitis, Ankylosing",38.0,MK2 (MAPKAPK2) covalent inhibitor,"MK2 inhibition -> reduces TNF/IL-6 and other proinflammatory cytokine production downstream of p38 -> dampens inflammation in ankylosing spondylitis. AS is driven by IL-23/IL-17 and TNF axes; MK2 sits downstream of p38 modulating cytokine output, a plausible but indirect anti-inflammatory node. Moderate-low fit to axial endpoints.",clean
NCT04141995,leucovorin,Pancreatic Cancer,58.0,Folate metabolism (thymidylate synthase modulation),Pancreatic cancer: leucovorin potentiates 5-FU thymidylate synthase inhibition within the cytotoxic regimen. On-path modulator; effect size constrained by tumor chemoresistance.,clean
NCT04778397,cytarabine,Acute Myeloid Leukemia,86.0,"DNA polymerase / nucleoside analog (Ara-C, antimetabolite)",Incorporates into DNA of proliferating myeloblasts -> chain termination -> apoptosis. AML is the canonical cytarabine indication ('7+3' backbone); the antimetabolite mechanism is squarely on the proliferative causal path of myeloid leukemia.,clean
NCT04638517,danazol,Adults and Children With Pulmonary Fibrosis,30.0,"Attenuated androgen / synthetic steroid (androgen-receptor agonist, gonadotropin suppressor; telomerase/telomere-stabilizing effect on hematopoiesis)","Androgen -> telomerase upregulation -> telomere maintenance. In pulmonary fibrosis the rationale is telomere-disease (short-telomere IPF subset): androgens lengthen telomeres in marrow, but the lung fibrotic process (fibroblast/myofibroblast activation, collagen deposition) is far downstream and androgen action on lung fibrogenesis is indirect and weak; plausible only in a narrow telomeropathy subset.",clean
NCT05019521,danicopan,Geographic Atrophy,48.0,Complement factor D (alternative pathway) inhibitor,"Block factor D -> inhibit alternative complement amplification loop -> reduce C3 convertase activity. Geographic atrophy (advanced dry AMD) is causally linked to complement dysregulation (CFH, C3 genetics) at the RPE/photoreceptor; alternative-pathway inhibition is a genetically validated node. However systemic/oral factor D inhibition reaching the macula and halting atrophy progression is mechanistically uncertain (local vs systemic complement, photoreceptor loss largely downstream).",clean
NCT04778397,daunorubicin,Acute Myeloid Leukemia,82.0,Topoisomerase II / DNA intercalation (anthracycline),Anthracycline DNA damage/topo II poisoning -> apoptosis of proliferating myeloid blasts. AML is driven by clonal myeloid blast proliferation; daunorubicin is a canonical '7+3' induction backbone targeting the dividing malignant clone. Remission endpoint reachable; mechanism squarely on the proliferative driver.,clean
NCT04857840,Firibastat (QGC001) Period,Hypertension (HTN),48.0,Brain aminopeptidase A inhibitor (central angiotensin III formation),"inhibits brain aminopeptidase A -> blocks central conversion of Ang II to Ang III, lowering central sympathetic drive and vasopressin -> essential hypertension involves central RAS/sympathetic overactivity as a contributing driver; targeting the brain RAS engages a real but secondary node relative to the dominant systemic RAS/volume mechanisms already validated. Plausible central BP-lowering mechanism on a partial driver.",clean
NCT04778397,idarubicin,Acute Myeloid Leukemia,85.0,Topoisomerase II / DNA intercalation (anthracycline),Topo II poisoning -> DNA double-strand breaks -> apoptosis of AML blasts. Anthracycline + cytarabine is the validated induction backbone for AML; directly targets the proliferating malignant population.,clean
NCT04141995,irinotecan,Pancreatic Cancer,68.0,Topoisomerase I (SN-38),"TOP1 inhibition -> DNA damage -> cytotoxicity against pancreatic tumor cells. Proliferative malignancy; on-mechanism cytotoxic backbone (FOLFIRINOX), modest single-agent activity.",clean
NCT04718675,KB-0742,Ovarian Cancer,42.0,CDK9 inhibitor (transcriptional kinase),CDK9 -> blocks RNA Pol II CTD phosphorylation / transcriptional elongation of short-lived oncogenic transcripts (MYC) -> MYC-amplified/transcription-addicted ovarian cancers depend on this output. On-pathway for transcription-addicted tumors but ovarian cancer is heterogeneous and MYC-dependence is subset-specific; moderate causal fit.,clean - CDK9/MYC vs ovarian cancer heterogeneity reasoning only
NCT04968184,KBP-5074,Chronic Kidney Diseases,72.0,Non-steroidal selective mineralocorticoid receptor antagonist,MR -> aldosterone-driven inflammation/fibrosis and sodium retention -> CKD progression is substantially driven by MR-mediated renal inflammation and fibrosis (validated by other nsMRAs reducing albuminuria/eGFR decline). MR sits on a genuine causal driver of CKD progression; strong mechanistic fit.,"clean - MR->renal fibrosis is established CKD-progression biology, scored on mechanism"
NCT04628481,DF2156A,Type 1 Diabetes,36.0,CXCR1/CXCR2 (IL-8 receptor) antagonist,"CXCR1/2 blockade -> reduces neutrophil/immune-cell infiltration of pancreatic islets -> hypothesized to preserve beta-cell mass in new-onset type 1 diabetes. Islet inflammation and chemokine-mediated leukocyte trafficking are genuine contributors to autoimmune beta-cell destruction, so the target sits on a real (if upstream-of-T-cell-independent) inflammatory node; T1D is fundamentally T-cell autoimmune, so CXCR1/2 is a partial contributor with uncertain endpoint reach.",clean
NCT04641975,mirabegron,Overactive Bladder (OAB); Pharmacokinetics of Mirabegron,85.0,Beta-3 adrenergic receptor agonist,"beta-3 agonism -> detrusor relaxation -> increased storage, decreased urgency/frequency. Overactive bladder is driven by detrusor overactivity; beta-3 agonism directly addresses the storage-phase contractile driver. Squarely on the validated mechanistic pathway.",clean
NCT04858425,niclosamide,Covid19,24.0,Mitochondrial oxidative-phosphorylation uncoupler (antihelminthic); pleiotropic STAT3/Wnt/autophagy modulator,"Proposed antiviral: niclosamide neutralizes endolysosomal pH and inhibits SARS-CoV-2 entry/replication and host autophagy. This is an in-vitro repurposing rationale with weak human target-validation; the primary anthelmintic mechanism is unrelated to coronavirus biology and clinical exposure is limited by poor oral bioavailability. Speculative, peripheral fit for COVID-19.",clean
NCT04141995,Oxaliplatin,Pancreatic Cancer,55.0,DNA platinating agent (intrastrand crosslinks),Platinum -> DNA crosslinks -> apoptosis in dividing cells -> pancreatic adenocarcinoma is a proliferative malignancy where oxaliplatin is a FOLFIRINOX backbone component. Cytotoxic mechanism engages the proliferative driver though pancreatic cancer is notoriously chemoresistant (stroma/low response); solid-but-tempered fit.,"clean - platinum cytotoxic vs chemoresistant pancreatic tumor, mechanism-based"
NCT04635059,pacritinib,Biochemical Relapse After Definitive Treatment for Prostate Cancer,15.0,"JAK2 (and FLT3, IRAK1) kinase inhibitor","JAK2/FLT3/IRAK1 inhibition suppresses cytokine and proliferative signaling -> relevant to myelofibrosis, not to biochemical (PSA) relapse of prostate cancer. Prostate cancer relapse is androgen-receptor/AR-axis driven; JAK2 is not a validated driver. Target sits off the disease's causal pathway.",clean
NCT04641273,pregabalin,Participants With Diabetic Neuropathic Pain,76.0,Alpha-2-delta subunit of voltage-gated calcium channels (CACNA2D1),alpha2delta binding -> decreased excitatory neurotransmitter release in dorsal horn -> diabetic neuropathic pain driven by neuronal hyperexcitability/central sensitization; pregabalin acts on this causal node; validated for the pain endpoint,clean
NCT04944784,Reldesemtiv,Amyotrophic Lateral Sclerosis,25.0,Fast skeletal muscle troponin activator,"Troponin sensitization to calcium -> increased force per neural input -> improved muscle output. In ALS the causal driver is motor-neuron degeneration; a muscle-contractility enhancer addresses a downstream symptomatic consequence (weakness), not the neurodegenerative driver, so disease-modifying registrational endpoints are unlikely to be reached.",clean
NCT04720664,SM-88,Breast Cancer,22.0,"Modified tyrosine derivative (D,L-alpha-metyrosine; purported metabolic/oxidative-stress mechanism)",Putative interference with tumor cell metabolism/protein synthesis via tyrosine mimicry -> oxidative stress in cancer cells. Mechanism against breast cancer is poorly defined and not tied to any validated breast cancer driver pathway (ER/HER2/CDK); speculative metabolic node.,clean
NCT04778397,venetoclax,Acute Myeloid Leukemia,82.0,BCL-2 (anti-apoptotic protein),Venetoclax is a BCL-2 BH3-mimetic -> AML blasts depend heavily on BCL-2 for apoptotic evasion/survival. Restoring apoptosis hits a central survival dependency; strong target-validation in AML (esp. combinations).,clean
NCT04705051,Venglustat,Congenital Cystic Kidney Disease,38.0,Glucosylceramide synthase (UGCG) inhibitor (GCS / glucosylceramide synthase),"ADPKD cyst growth is driven by PKD1/PKD2 mutations causing aberrant cAMP signaling and proliferation; glycosphingolipid (glucosylceramide) accumulation has been implicated in promoting cystogenesis in preclinical models -> reducing glucosylceramide is a plausible but non-dominant contributor node, downstream/parallel to the core polycystin signaling defect -> partial mechanistic rationale.",clean
NCT04918147,acetaminophen,IgG4 Related Disease; IgG4-RD,8.0,Central analgesic/antipyretic (COX/prostaglandin modulation),IgG4-related disease is a fibroinflammatory autoimmune condition driven by IgG4+ plasmablasts/T-follicular-helper and B-cell responses; acetaminophen has no immunomodulatory action on this pathway (it is at most symptomatic for associated discomfort) -> target wholly off the autoimmune causal driver -> gross mismatch for a disease-modifying endpoint.,clean
NCT04918147,diphenhydramine,IgG4 Related Disease; IgG4-RD,9.0,H1 histamine receptor antagonist,"IgG4-related disease is a fibroinflammatory, IgG4-plasmablast/T-follicular-helper-driven autoimmune condition. H1 antagonism does not engage the IgG4/plasmablast fibroinflammatory driver; used at most as premedication/symptom control. Target sits off the disease causal pathway. Gross mismatch for a disease-activity endpoint.",clean — likely premedication arm; scored vs IgG4-RD mechanism
NCT04918147,famotidine,IgG4 Related Disease; IgG4-RD,8.0,Histamine H2 receptor,"H2 antagonism -> reduced gastric acid. IgG4-related disease is a fibroinflammatory, IgG4-plasma-cell-driven autoimmune condition; gastric acid suppression has no link to the IgG4/T-follicular-helper-driven pathophysiology. Famotidine here is almost certainly supportive/symptomatic, not disease-modifying. Gross target-disease mismatch for the core driver.",clean
NCT04918147,methylprednisolone,IgG4 Related Disease; IgG4-RD,80.0,Glucocorticoid receptor agonist; immunosuppressant,IgG4-related disease is an immune-mediated fibroinflammatory disorder driven by IgG4 plasmablasts/T-cell inflammation -> glucocorticoid broadly suppresses this immune activation -> reduces inflammatory infiltrate/organ swelling. Corticosteroids are the recognized first-line on-pathway intervention for IgG4-RD. Strong mechanistic fit.,clean
NCT04551053,parsaclisib,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,38.0,PI3K-delta isoform inhibitor,"PI3Kδ inhibition blocks PI3K/AKT survival signaling in lymphoid cells and modulates the inflammatory milieu. In myelofibrosis (JAK2/CALR-driven clonal myeloproliferation with aberrant cytokine signaling), PI3Kδ is an adjacent contributory node, not the JAK-STAT driver; mechanistic fit is partial.",clean
NCT04551066,parsaclisib,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,38.0,PI3K-delta isoform inhibitor,"PI3Kδ inhibition blocks PI3K/AKT survival signaling in lymphoid cells and modulates the inflammatory milieu. In myelofibrosis (JAK2/CALR-driven clonal myeloproliferation with aberrant cytokine signaling), PI3Kδ is an adjacent contributory node, not the JAK-STAT driver; mechanistic fit is partial.",clean
NCT04918147,prednisone,IgG4 Related Disease; IgG4-RD,82.0,Glucocorticoid receptor (NR3C1),GR agonism -> suppression of the IgG4-plasmablast/Th2-driven inflammatory-fibrotic process -> IgG4-RD core driver is aberrant immune/plasmablast activity; corticosteroids are first-line induction on the causal driver.,clean
NCT04551053,ruxolitinib,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,90.0,JAK1/JAK2 tyrosine kinases,JAK2 inhibition -> blocks aberrant JAK2-STAT signaling in MPN clone -> reduced splenomegaly and constitutional symptoms across primary/post-PV/post-ET myelofibrosis. JAK-STAT is the defining oncogenic driver of these MPNs.,clean
NCT04551066,ruxolitinib,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,90.0,JAK1/JAK2 tyrosine kinases,JAK2 inhibition -> blocks aberrant JAK2-STAT signaling in MPN clone -> reduced splenomegaly and constitutional symptoms across primary/post-PV/post-ET myelofibrosis. JAK-STAT is the defining oncogenic driver of these MPNs.,clean
NCT04393038,ABX464,COVID-19,42.0,Cap-binding complex / induces miR-124 (anti-inflammatory microRNA),"miR-124 upregulation -> downregulates pro-inflammatory cytokines (IL-6, TNF, MCP-1) -> dampening of cytokine-driven inflammation in COVID-19. The hyperinflammatory phase is a real causal contributor to severe COVID, so an anti-inflammatory mechanism is plausible but non-specific and not antiviral; modest fit.",clean
NCT04534283,abemaciclib,Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,45.0,CDK4/6 inhibitor,"Abemaciclib inhibits CDK4/6 -> the disease label specifies BRAF V600E / MEK / ERK / RAF1 mutations (MAPK-pathway-driven cancers). CDK4/6 acts downstream on the Rb/cell-cycle axis and there is cross-talk (MAPK drives cyclin D), so CDK4/6 inhibition is a rational combination/parallel node for MAPK-addicted tumors but is not the primary oncogenic driver being targeted -> partial fit, mechanistically supportable as a co-target.",clean
NCT04313881,azacitidine,Myelodysplastic Syndromes,78.0,DNMT (hypomethylating agent),MDS: aberrant DNA methylation silencing differentiation genes is a recognized driver; azacitidine de-represses via DNMT depletion. Direct on-pathway epigenetic mechanism.,clean
NCT04606563,Azilsartan,Covid19; SARS-CoV Infection,18.0,Angiotensin II type-1 receptor (AT1R) blocker (ARB),"ARB -> blocks AT1R -> upregulates ACE2 / counters RAS-driven lung injury hypothesized in COVID-19. The RAS/ACE2 link to SARS-CoV-2 is mechanistically speculative; an antihypertensive does not address viral replication or the dominant inflammatory cascade. Peripheral, hypothesis-driven node for COVID outcomes.",clean
NCT04504734,Bucillamine,Covid19,16.0,"Thiol-donor / antioxidant (free-radical scavenger, glutathione support)","Thiol antioxidant -> scavenges ROS / supports glutathione -> hypothesized to blunt oxidative lung injury in COVID-19. No action on viral replication or the core inflammatory cascade; generic antioxidant mechanism is a peripheral, weakly-supported node for COVID clinical endpoints.",clean
NCT04606563,Candesartan,Covid19; SARS-CoV Infection,18.0,Angiotensin II type-1 receptor (AT1R) blocker (ARB),"ARB -> blocks AT1R / hypothesized ACE2-RAS modulation in COVID-19. As with other ARBs, no antiviral or core-immunopathology action; the RAS hypothesis is a peripheral, speculative node for COVID outcomes.",clean
NCT04606563,eprosartan,Covid19; SARS-CoV Infection,20.0,Angiotensin II type 1 receptor (AT1) antagonist (ARB),"AT1 blockade -> modulates RAAS and ACE2 biology hypothesized to affect SARS-CoV-2 entry/lung injury. The causal driver of COVID-19 is viral infection and immune-mediated injury; ARB action on AT1 is at best a peripheral modulator of disease course, not the causal pathogen pathway. Weak mechanistic fit to a clinical COVID endpoint.",clean
