row_idx,y,p,NCT_ID,Disease,Drug_Clean,Phase,risk_tolerance,confidence_tier,tier_threshold,p_adj
267,1,0.46909278164114027,NCT03729297,Gland Cancer,cabozantinib,Phase 2,75.0,A_tox_tolerated,0.65,0.46909278164114027
269,1,0.21359679144753496,NCT03436420,Non-Alcoholic Fatty Liver Disease,Gemcabene,Phase 2,40.0,B_serious_chronic,0.6,0.21359679144753496
271,1,0.31456012072879547,NCT03450707,Cardiac Arrest,Thiamine,Phase 2,95.0,A_tox_tolerated,0.65,0.31456012072879547
272,1,0.9981763021553925,NCT03093272,Prostate Cancer,apalutamide,Phase 2,72.0,A_tox_tolerated,0.65,0.9981763021553925
273,1,0.6746205134853528,NCT03373422,Endometriosis,BAY1128688,Phase 2,20.0,C_benign,0.5,0.6746205134853528
274,1,0.9999999999928724,NCT03131453,Alzheimer's Disease,CNP520,Phase 2/3,60.0,B_serious_chronic,0.6,0.9999999999928724
275,1,0.6248821182838828,NCT03381118,Acute Myeloid Leukemia,cytarabine,Phase 2,90.0,A_tox_tolerated,0.65,0.6248821182838828
277,1,0.678546227014034,NCT02722369,Lung Cancer,hydroxychloroquine,Phase 2,90.0,A_tox_tolerated,0.65,0.678546227014034
278,1,0.7483183825449157,NCT02874651,Nasopharyngeal Carcinoma,Apatinib,Phase 2,85.0,A_tox_tolerated,0.65,0.7483183825449157
279,1,0.44961283650912576,NCT02618577,Atrial High Rate Episodes,edoxaban,Phase 3,40.0,B_serious_chronic,0.6,0.44961283650912576
280,1,0.9999999734004044,NCT02956486,Alzheimer's Disease,Elenbecestat,Phase 3,60.0,B_serious_chronic,0.6,0.9999999734004044
281,1,0.388892214776369,NCT02711137,Solid Tumors,INCB057643,Phase 2,85.0,A_tox_tolerated,0.65,0.388892214776369
282,1,0.4378481132950293,NCT02820519,Neuropathic Pain,loxapine,Phase 2,30.0,C_benign,0.5,0.4378481132950293
283,1,0.9999719466166604,NCT02585388,Metastatic Breast Cancer,anastrozole,Phase 2,88.0,A_tox_tolerated,0.65,0.9999719466166604
284,1,0.35560732145241597,NCT02489500,AL Amyloidosis,Bortezomib,Phase 3,85.0,A_tox_tolerated,0.65,0.35560732145241597
285,1,0.7750787871471377,NCT02439138,Waldenstrom's Macroglobulinemia,idelalisib,Phase 2,72.0,A_tox_tolerated,0.65,0.7750787871471377
286,1,0.6722998735481223,NCT02495233,Lung Cancer,gilteritinib,Phase 2,90.0,A_tox_tolerated,0.65,0.6722998735481223
287,1,0.9999991295789762,NCT02585388,Metastatic Breast Cancer,letrozole,Phase 2,88.0,A_tox_tolerated,0.65,0.9999991295789762
288,1,0.9999411400272503,NCT02457910,Metastatic Breast Cancer,Taselisib,Phase 2,88.0,A_tox_tolerated,0.65,0.9999411400272503
289,1,0.06478063194331003,NCT02443194,Depression,duloxetine,Phase 3,40.0,B_serious_chronic,0.6,0.06478063194331003
293,1,0.8457182368682694,NCT02173756,Cancer,morphine,Phase 3,85.0,A_tox_tolerated,0.65,0.8457182368682694
294,1,0.19686912238313573,NCT01954082,retinopathy of prematurity,myo-Inositol 5%,Phase 3,55.0,B_serious_chronic,0.6,0.19686912238313573
295,1,0.8386339630015638,NCT01808950,Cell Carcinoma,0.06% Resiquimod - C,Phase 2,85.0,A_tox_tolerated,0.65,0.8386339630015638
296,1,0.10850472881366194,NCT01888965,Colorectal and Pancreas Cancer,Dovitinib,Phase 2,95.0,A_tox_tolerated,0.65,0.10850472881366194
297,1,0.16088933182220147,NCT01761747,Squamous Cell Lung and Head and Neck Cancer,ponatinib,Phase 2/3,88.0,A_tox_tolerated,0.65,0.16088933182220147
299,1,0.1100685547365585,NCT01266070,Von Hippel-Lindau Syndrome,Dovitinib,Phase 2,72.0,A_tox_tolerated,0.65,0.1100685547365585
300,1,0.9999999998623016,NCT01560585,Alzheimer's Disease,isotretinoin,Phase 2,60.0,B_serious_chronic,0.6,0.9999999998623016
301,1,0.009686081827740467,NCT00978432,Cell Lymphoma,panobinostat,Phase 2,85.0,A_tox_tolerated,0.65,0.009686081827740467
302,1,0.008246572202819857,NCT01792635,Type 2 Diabetes Mellitus,PF-05175157,Phase 2,40.0,B_serious_chronic,0.6,0.008246572202819857
303,1,0.4095241486913337,NCT01631279,"Unspecified Adult Solid Tumor, Protocol Specific",TH-4000 (Tarloxotinib),Phase 2,88.0,A_tox_tolerated,0.65,0.4095241486913337
305,1,0.19400409604074606,NCT01611662,Bladder Cancer,gemcitabine,Phase 2,75.0,A_tox_tolerated,0.65,0.19400409604074606
306,1,0.01256541961057751,NCT01319539,Breast Cancer,Akt Inhibitor MK2206,Phase 2,75.0,A_tox_tolerated,0.65,0.01256541961057751
307,1,0.005800447666861053,NCT01351675,Type 2 Diabetes,Bardoxolone Methyl:,Phase 3,40.0,B_serious_chronic,0.6,0.005800447666861053
308,1,0.8940488180162219,NCT01491633,Lung Cancer,Dasatinib,Phase 2,90.0,A_tox_tolerated,0.65,0.8940488180162219
309,1,0.9999999999981704,NCT01483690,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,decitabine,Phase 2,90.0,A_tox_tolerated,0.65,0.9999999999981704
310,1,1.0,NCT01483690,Acute Lymphoblastic Leukemia; Precursor B-Cell Lymphoblastic Leukemia; Precursor T-Cell Lymphoblastic Leukemia,vorinostat,Phase 2,90.0,A_tox_tolerated,0.65,1.0
311,1,0.27458883612088425,NCT01277510,"Chronic Kidney Disease; Hyperparathyroidism; Hyperparathyroidism, Secondary; Kidney Disease; Secondary Hyperparathyroidism",cinacalcet,Phase 3,60.0,B_serious_chronic,0.6,0.27458883612088425
312,1,0.6645497139804368,NCT01388647,Operable HER2 Positive Breast Cancer,eribulin,Phase 2,80.0,A_tox_tolerated,0.65,0.6645497139804368
313,1,0.2080154276477244,NCT01151137,Atrial Fibrillation,dronedarone,Phase 3,45.0,B_serious_chronic,0.6,0.2080154276477244
314,1,0.999976620152772,NCT01108458,Pancreatic Cancer,Erlotinib,Phase 2,95.0,A_tox_tolerated,0.65,0.999976620152772
315,1,0.11296886725596775,NCT01127542,Chronic Lymphocytic Leukaemia,lenalidomide,Phase 2,70.0,A_tox_tolerated,0.65,0.11296886725596775
316,1,0.08462952524928644,NCT01179737,Pulmonary Arterial Hypertension,nilotinib,Phase 2,80.0,A_tox_tolerated,0.65,0.08462952524928644
317,1,0.01043704050261629,NCT01204853,"Hypertension, Pulmonary",sitaxentan,Phase 3,80.0,A_tox_tolerated,0.65,0.01043704050261629
318,1,0.010526798639702451,NCT01210443,"Hypertension, Pulmonary",sitaxentan,Phase 3,80.0,A_tox_tolerated,0.65,0.010526798639702451
319,1,0.33420751845662866,NCT00796510,Pulmonary Arterial Hypertension; Pulmonary Hypertension,sitaxentan,Phase 3,80.0,A_tox_tolerated,0.65,0.33420751845662866
320,0,0.006906663134133195,NCT07194694,Pain,bupivacaine,Phase 3,15.0,C_benign,0.5,0.006906663134133195
321,0,0.37571540480649723,NCT06576882,Helicobacter Pylori Infection; Gastritis; Vonoprazan; Adolescents,amoxicillin,Phase 3,28.0,C_benign,0.5,0.37571540480649723
322,0,0.21948407611577908,NCT06318481,"Stent Thrombosis; Myocardial Infarction, Acute",clopidogrel,Phase 3,82.0,A_tox_tolerated,0.65,0.21948407611577908
323,0,0.0162864356039109,NCT06192108,Type 2 Diabetes,dapagliflozin,Phase 3,40.0,B_serious_chronic,0.6,0.0162864356039109
324,0,0.01631557038464817,NCT06415773,Type 2 Diabetes,dapagliflozin,Phase 3,40.0,B_serious_chronic,0.6,0.01631557038464817
325,0,0.022964809732768286,NCT07028697,insomnia,daridorexant,Phase 3,15.0,C_benign,0.5,0.022964809732768286
326,0,0.011031760845373762,NCT07289945,Early Recovery in Elderly Patients; Cognitive Function,desflurane,Phase 3,10.0,C_benign,0.5,0.011031760845373762
327,0,0.006798412830123812,NCT05214911,allergic rhinitis,desloratadine,Phase 3,8.0,C_benign,0.5,0.006798412830123812
328,0,0.2751814507707996,NCT07326904,Gastro Oesophageal Reflux Disease,esomeprazole,Phase 3,20.0,C_benign,0.5,0.2751814507707996
329,0,0.16295016227151765,NCT06590870,Procedural Pain,fentanyl,Phase 3,8.0,C_benign,0.5,0.16295016227151765
330,0,0.7170147690124489,NCT06206408,hot flashes,fezolinetant,Phase 3,8.0,C_benign,0.5,0.7170147690124489
331,0,0.17469750547567053,NCT06685679,"Neonatal Diseases and Abnormalities; Neonatal Mortality; Pulmonary Arterial Hypertension; Pulmonary Arterial Hypertension, Children",melatonin,Phase 3,50.0,B_serious_chronic,0.6,0.17469750547567053
332,0,0.16526045752701543,NCT05486416,General Anesthesia,propofol,Phase 3,10.0,C_benign,0.5,0.16526045752701543
333,0,0.005881869074949986,NCT06391931,Anesthesia,propofol,Phase 3,15.0,C_benign,0.5,0.005881869074949986
334,0,0.4489711860500831,NCT06714669,intraoperative hypotension,remimazolam,Phase 3,45.0,B_serious_chronic,0.6,0.4489711860500831
335,0,0.13259641394334146,NCT06744777,Dengue Hemorrhagic Fever,ribavirin,Phase 3,80.0,A_tox_tolerated,0.65,0.13259641394334146
336,0,0.007116241877730456,NCT07289945,Early Recovery in Elderly Patients; Cognitive Function,sevoflurane,Phase 3,10.0,C_benign,0.5,0.007116241877730456
337,0,0.4941188646497093,NCT06466369,BPH With Other Lower Urinary Tract Symptoms,tadalafil,Phase 3,15.0,C_benign,0.5,0.4941188646497093
338,0,0.5244446189882785,NCT06258785,postoperative urinary retention,tizanidine,Phase 3,12.0,C_benign,0.5,0.5244446189882785
339,0,0.0023706690753013903,NCT05761574,Pain,acetaminophen,Phase 3,15.0,C_benign,0.5,0.0023706690753013903
340,0,0.006009719422628535,NCT05586971,gout,allopurinol,Phase 3,18.0,C_benign,0.5,0.006009719422628535
341,0,0.005374229271139286,NCT06088043,plaque psoriasis,apremilast,Phase 3,25.0,C_benign,0.5,0.005374229271139286
342,0,0.005374229271139286,NCT06108544,plaque psoriasis,apremilast,Phase 3,25.0,C_benign,0.5,0.005374229271139286
343,0,0.004286913076842191,NCT05861427,migraine,atogepant,Phase 3,20.0,C_benign,0.5,0.004286913076842191
344,0,0.31009701773288945,NCT05878093,Chronic Rhinosinusitis With Nasal Polyps,budesonide,Phase 3,15.0,C_benign,0.5,0.31009701773288945
345,0,0.007541289541616769,NCT06165679,hemodynamic instability,bupivacaine,Phase 3,80.0,A_tox_tolerated,0.65,0.007541289541616769
346,0,0.007117402728517841,NCT06616441,postoperative pain,bupivacaine,Phase 3,8.0,C_benign,0.5,0.007117402728517841
347,0,0.00345325973166708,NCT05682326,anemia,daprodustat,Phase 3,40.0,B_serious_chronic,0.6,0.00345325973166708
348,0,0.022805859642080328,NCT06010693,insomnia,daridorexant,Phase 3,15.0,C_benign,0.5,0.022805859642080328
349,0,0.19410743645457168,NCT05988671,Laparoscopic Cholecystectomy; Postoperative Nausea and Vomiting,dexamethasone,Phase 3,15.0,C_benign,0.5,0.19410743645457168
350,0,0.011256880538089643,NCT05763875,Hypercholesterolemia,ezetimibe,Phase 3,38.0,C_benign,0.5,0.011256880538089643
351,0,0.008906782941759972,NCT05692154,seasonal allergic rhinitis,fexofenadine,Phase 3,8.0,C_benign,0.5,0.008906782941759972
352,0,0.17781382971387458,NCT05690698,Hyperactive Delirium,haloperidol,Phase 3,40.0,B_serious_chronic,0.6,0.17781382971387458
353,0,0.3344112924588326,NCT05754996,hepatic encephalopathy,lactulose,Phase 3,75.0,A_tox_tolerated,0.65,0.3344112924588326
354,0,0.0124435991139761,NCT05794555,Cirrhosis,lactulose,Phase 3,80.0,A_tox_tolerated,0.65,0.0124435991139761
355,0,0.420335477821385,NCT05763823,Prevention of Cytomegalovirus Infection,letermovir,Phase 3,65.0,B_serious_chronic,0.6,0.420335477821385
356,0,0.12304932964365847,NCT06846307,traumatic brain injury,mannitol,Phase 3,82.0,A_tox_tolerated,0.65,0.12304932964365847
357,0,0.22558569627643799,NCT06103188,Anxiety; Preoperative Anxiety,melatonin,Phase 3,15.0,C_benign,0.5,0.22558569627643799
358,0,0.6319679728980112,NCT05680129,T2DM; Type 2 Diabetes Mellitus,metformin,Phase 3,40.0,B_serious_chronic,0.6,0.6319679728980112
360,0,0.14540605423981517,NCT06297954,upper gastrointestinal bleeding,metoclopramide,Phase 3,80.0,A_tox_tolerated,0.65,0.14540605423981517
361,0,0.37377527584170805,NCT05458609,Alcohol Use Disorder,naltrexone,Phase 3,40.0,B_serious_chronic,0.6,0.37377527584170805
362,0,0.1773783618542289,NCT05630833,Recurrent urinary tract infections,nitrofurantoin,Phase 3,25.0,C_benign,0.5,0.1773783618542289
363,0,0.010257567651962951,NCT05680870,in Cancer,omeprazole,Phase 3,85.0,A_tox_tolerated,0.65,0.010257567651962951
364,0,0.027538510247051673,NCT06165679,hemodynamic instability,prilocaine,Phase 3,80.0,A_tox_tolerated,0.65,0.027538510247051673
365,0,0.1766851737078552,NCT06091436,Infertility,progesterone,Phase 3,8.0,C_benign,0.5,0.1766851737078552
366,0,0.006844156568366633,NCT05615025,"Anesthesia, General; Neuromuscular Transmission Disorders",propofol,Phase 3,30.0,C_benign,0.5,0.006844156568366633
367,0,0.011403000974032528,NCT05836545,Healthy,remimazolam,Phase 3,5.0,C_benign,0.5,0.011403000974032528
368,0,0.011304022597547415,NCT06013345,atrial fibrillation,remimazolam,Phase 3,55.0,B_serious_chronic,0.6,0.011304022597547415
369,0,0.010467452469013283,NCT05810038,migraine,rimegepant,Phase 3,20.0,C_benign,0.5,0.010467452469013283
370,0,0.41195564697623616,NCT05779241,Schizophrenia; Schizoaffective Disorder,risperidone,Phase 3,62.0,B_serious_chronic,0.6,0.41195564697623616
371,0,0.05239219812279794,NCT05773846,Post-surgical Pain,ropivacaine,Phase 3,8.0,C_benign,0.5,0.05239219812279794
372,0,0.00774605824526482,NCT05615025,"Anesthesia, General; Neuromuscular Transmission Disorders",sevoflurane,Phase 3,30.0,C_benign,0.5,0.00774605824526482
373,0,0.19122771161349678,NCT06103825,sleep apnea,solriamfetol,Phase 3,40.0,B_serious_chronic,0.6,0.19122771161349678
374,0,0.27278410010544657,NCT05753670,Postoperative Retention of Urine,tamsulosin,Phase 3,15.0,C_benign,0.5,0.27278410010544657
375,0,0.004717332756333481,NCT06135415,actinic keratosis,tirbanibulin,Phase 3,18.0,C_benign,0.5,0.004717332756333481
376,0,0.21350265606914012,NCT06278402,Alopecia Areata; Alopecia Totalis; Alopecia Universalis,tofacitinib,Phase 3,10.0,C_benign,0.5,0.21350265606914012
377,0,0.329188446297543,NCT06215820,Acute Pain; Post Operative Pain; Pain,tramadol,Phase 3,8.0,C_benign,0.5,0.329188446297543
378,0,0.329188446297543,NCT06215859,Acute Pain; Post Operative Pain; Pain,tramadol,Phase 3,8.0,C_benign,0.5,0.329188446297543
379,0,0.22563450542253172,NCT05811676,"Hemorrhage, Postpartum; Placenta Previa",tranexamic acid,Phase 3,80.0,A_tox_tolerated,0.65,0.22563450542253172
380,0,0.0020446809325664673,NCT06288685,pain,triamcinolone,Phase 3,20.0,C_benign,0.5,0.0020446809325664673
381,0,0.005433317350759781,NCT06122649,plaque psoriasis,apremilast,Phase 3,25.0,C_benign,0.5,0.005433317350759781
382,0,0.15159576485755433,NCT05639946,neuropathic pain,brivaracetam,Phase 3,25.0,C_benign,0.5,0.15159576485755433
383,0,0.5643517303788317,NCT05726097,Colon Cancer; Inflammatory Bowel Diseases; Gastrointestinal Bleed; Colon Polyp,prucalopride,Phase 3,85.0,A_tox_tolerated,0.65,0.5643517303788317
384,0,0.2532522943648464,NCT05174065,palmoplantar pustulosis,apremilast,Phase 3,15.0,C_benign,0.5,0.2532522943648464
385,0,0.3979449824865456,NCT05216263,chronic migraine,atogepant,Phase 3,22.0,C_benign,0.5,0.3979449824865456
386,0,0.014956540031608822,NCT05311475,seasonal allergic rhinitis,azelastine,Phase 3,8.0,C_benign,0.5,0.014956540031608822
387,0,0.0023524514519024597,NCT05292586,asthma,beclomethasone dipropionate,Phase 3,42.0,B_serious_chronic,0.6,0.0023524514519024597
388,0,0.3136880209314193,NCT05656027,presbyopia,brimonidine,Phase 3,5.0,C_benign,0.5,0.3136880209314193
389,0,0.00688660202764837,NCT05624151,pain,bupivacaine,Phase 3,20.0,C_benign,0.5,0.00688660202764837
390,0,0.2641631643715729,NCT05430217,Vertigo; Autonomic Dysfunction,buspirone,Phase 3,30.0,C_benign,0.5,0.2641631643715729
391,0,0.017254662587379666,NCT05485805,Pain,caffeine,Phase 3,15.0,C_benign,0.5,0.017254662587379666
392,0,0.0068146788063787374,NCT05439616,autism spectrum disorder,cariprazine,Phase 3,20.0,C_benign,0.5,0.0068146788063787374
394,0,0.15365231880417268,NCT05196347,Chronic Kidney Diseases,dapagliflozin,Phase 3,60.0,B_serious_chronic,0.6,0.15365231880417268
395,0,0.42134533905859844,NCT05438875,purpura,eltrombopag,Phase 3,40.0,B_serious_chronic,0.6,0.42134533905859844
396,0,0.14035307417348336,NCT05364190,Chronic Heart Failure; Acute Heart Failure; Diabetes Mellitus,empagliflozin,Phase 3,80.0,A_tox_tolerated,0.65,0.14035307417348336
397,0,0.005488748995832316,NCT05950061,Major Depressive Disorder,escitalopram,Phase 3,42.0,B_serious_chronic,0.6,0.005488748995832316
398,0,0.44908852410345707,NCT05617820,Dyspareunia,estradiol,Phase 3,12.0,C_benign,0.5,0.44908852410345707
399,0,0.23351476973505497,NCT05570292,Gastric Residual Volume,folic acid,Phase 3,8.0,C_benign,0.5,0.23351476973505497
400,0,0.10638019115717734,NCT05620641,Post Operative Nausea and Vomiting; Sleeve Gastrectomy; Morbid Obesity,gabapentin,Phase 3,30.0,C_benign,0.5,0.10638019115717734
402,0,0.008613336631754186,NCT05475665,Essential Hypertension,irbesartan,Phase 3,40.0,B_serious_chronic,0.6,0.008613336631754186
403,0,0.008616637572403408,NCT05476354,Essential Hypertension,irbesartan,Phase 3,40.0,B_serious_chronic,0.6,0.008616637572403408
404,0,0.0017897424296047016,NCT03941860,Multiple Myeloma,ixazomib citrate,Phase 3,82.0,A_tox_tolerated,0.65,0.0017897424296047016
405,0,0.09476439613477332,NCT05233566,Postoperative Depression,ketamine,Phase 3,30.0,C_benign,0.5,0.09476439613477332
406,0,0.0032801789033487074,NCT05291598,total hip arthroplasty,ketorolac,Phase 3,25.0,C_benign,0.5,0.0032801789033487074
407,0,0.18484610271093138,NCT05629390,blepharitis,lotilaner,Phase 3,6.0,C_benign,0.5,0.18484610271093138
408,0,0.8024947219256383,NCT05167825,Pulmonary Arterial Hypertension,macitentan,Phase 3,80.0,A_tox_tolerated,0.65,0.8024947219256383
409,0,0.005119236839321495,NCT05137717,cytomegalovirus infection,maribavir,Phase 3,55.0,B_serious_chronic,0.6,0.005119236839321495
410,0,0.33523408947576516,NCT05174416,hypertrophic cardiomyopathy,mavacamten,Phase 3,70.0,A_tox_tolerated,0.65,0.33523408947576516
411,0,0.26401092890456185,NCT05414175,cardiomyopathy,mavacamten,Phase 3,75.0,A_tox_tolerated,0.65,0.26401092890456185
413,0,0.09930377875655043,NCT04979806,Complicated Urinary Tract Infection; Acute Pyelonephritis,meropenem,Phase 3,55.0,B_serious_chronic,0.6,0.09930377875655043
414,0,0.6437847326623678,NCT04826692,Huntington Disease,metformin,Phase 3,82.0,A_tox_tolerated,0.65,0.6437847326623678
415,0,0.00556076914134318,NCT05280496,Diabetes,metformin,Phase 3,40.0,B_serious_chronic,0.6,0.00556076914134318
416,0,0.47655996949078816,NCT05413369,Type 2 Diabetes Mellitus,metformin,Phase 3,40.0,B_serious_chronic,0.6,0.47655996949078816
417,0,0.28246821454436977,NCT05722951,Epilepsy,metformin,Phase 3,58.0,B_serious_chronic,0.6,0.28246821454436977
418,0,0.22661944815388227,NCT05097326,Labor induction,mifepristone,Phase 3,40.0,B_serious_chronic,0.6,0.22661944815388227
419,0,0.10072012089444174,NCT05097326,Labor induction,misoprostol,Phase 3,40.0,B_serious_chronic,0.6,0.10072012089444174
420,0,0.10070007683854121,NCT05424445,Labor induction,misoprostol,Phase 3,40.0,B_serious_chronic,0.6,0.10070007683854121
421,0,0.5054937162895583,NCT05355974,Anesthesia-induced hypotension,norepinephrine,Phase 3,30.0,C_benign,0.5,0.5054937162895583
422,0,0.19376739263916296,NCT05027802,fibrodysplasia ossificans progressiva,palovarotene,Phase 3,75.0,A_tox_tolerated,0.65,0.19376739263916296
423,0,0.22060848462872085,NCT05223166,excessive daytime sleepiness,pitolisant,Phase 3,18.0,C_benign,0.5,0.22060848462872085
424,0,0.22068072132098981,NCT05458128,idiopathic hypersomnia,pitolisant,Phase 3,15.0,C_benign,0.5,0.22068072132098981
425,0,0.16554045226483632,NCT05478174,General Anesthesia,propofol,Phase 3,10.0,C_benign,0.5,0.16554045226483632
426,0,0.010467452469013283,NCT05399485,migraine,rimegepant,Phase 3,20.0,C_benign,0.5,0.010467452469013283
427,0,0.005448268311922111,NCT05369793,type 2 diabetes mellitus,roflumilast,Phase 3,40.0,B_serious_chronic,0.6,0.005448268311922111
428,0,0.011196292931362529,NCT05301517,anemia,roxadustat,Phase 3,40.0,B_serious_chronic,0.6,0.011196292931362529
429,0,0.008499256666488875,NCT05950061,Major Depressive Disorder,sertraline,Phase 3,42.0,B_serious_chronic,0.6,0.008499256666488875
430,0,0.0069860763951987035,NCT05072704,total hip arthroplasty,sufentanil,Phase 3,25.0,C_benign,0.5,0.0069860763951987035
431,0,0.00519955176787692,NCT04937881,HIV infection,tenofovir alafenamide,Phase 3,62.0,B_serious_chronic,0.6,0.00519955176787692
432,0,0.2413808086174713,NCT06146478,Transfusion-dependent Beta-Thalassemia,thalidomide,Phase 3,62.0,B_serious_chronic,0.6,0.2413808086174713
433,0,0.484900490081972,NCT05429671,Total Knee Arthoplasty,tobramycin,Phase 3,18.0,C_benign,0.5,0.484900490081972
434,0,0.3296009939429177,NCT07043049,Shivering,tramadol,Phase 3,6.0,C_benign,0.5,0.3296009939429177
435,0,0.2682932767416558,NCT05601882,atopic dermatitis,upadacitinib,Phase 3,20.0,C_benign,0.5,0.2682932767416558
436,0,0.006326098257849288,NCT06248931,migraine,valproic acid,Phase 3,20.0,C_benign,0.5,0.006326098257849288
437,0,0.9861347821880828,NCT05320575,hemophagocytic lymphohistiocytosis,zanubrutinib,Phase 3,90.0,A_tox_tolerated,0.65,0.9861347821880828
438,0,0.006452404404137524,NCT05658380,Anesthesia,atropine,Phase 3,15.0,C_benign,0.5,0.006452404404137524
439,0,0.08174518245195297,NCT06948513,Pain Management,ibuprofen,Phase 3,15.0,C_benign,0.5,0.08174518245195297
441,0,0.006298835370506617,NCT04956432,gout,allopurinol,Phase 3,18.0,C_benign,0.5,0.006298835370506617
442,0,0.3981187247436847,NCT04829747,chronic migraine,atogepant,Phase 3,22.0,C_benign,0.5,0.3981187247436847
443,0,0.35926683748306604,NCT04476420,oral submucous fibrosis,betamethasone valerate,Phase 3,30.0,C_benign,0.5,0.35926683748306604
444,0,0.006947396943153383,NCT04825704,Pain,bupivacaine,Phase 3,15.0,C_benign,0.5,0.006947396943153383
445,0,0.00687133521432981,NCT04974385,pain,bupivacaine,Phase 3,20.0,C_benign,0.5,0.00687133521432981
446,0,0.22915280139061123,NCT05171179,Mammaplasty,bupivacaine,Phase 3,5.0,C_benign,0.5,0.22915280139061123
448,0,0.009878977482902429,NCT04345796,Tricuspid Regurgitation; Right Ventricular Dilatation,carvedilol,Phase 3,62.0,B_serious_chronic,0.6,0.009878977482902429
449,0,0.2633682651820884,NCT06754410,Lower Ureteric Stones,cetirizine,Phase 3,20.0,C_benign,0.5,0.2633682651820884
450,0,0.6926344784503584,NCT04847947,Pre-frail Elderly,vitamin D3,Phase 3,25.0,C_benign,0.5,0.6926344784503584
452,0,0.20668358353993468,NCT06120725,Ischemic Stroke,clopidogrel,Phase 3,82.0,A_tox_tolerated,0.65,0.20668358353993468
455,0,0.0032672880278346917,NCT04765371,Coronavirus Infection,dexamethasone,Phase 3,70.0,A_tox_tolerated,0.65,0.0032672880278346917
456,0,0.003538047390223742,NCT04707352,Heart Failure,dapagliflozin,Phase 3,80.0,A_tox_tolerated,0.65,0.003538047390223742
457,0,0.025478441385046534,NCT04636671,Covid19; Viral Pneumonia Human Coronavirus; Severe Acute Respiratory Syndrome,dexamethasone,Phase 3,85.0,A_tox_tolerated,0.65,0.025478441385046534
458,0,0.19448539663776795,NCT04655144,Post Uterine Artery Embolization Pain,dexamethasone,Phase 3,10.0,C_benign,0.5,0.19448539663776795
460,0,0.19417234482606308,NCT04976777,Macular Edema,dexamethasone,Phase 3,25.0,C_benign,0.5,0.19417234482606308
461,0,0.19407724987424607,NCT05564286,Chemoradiotherapy in Cervical Cancer,dexamethasone,Phase 3,85.0,A_tox_tolerated,0.65,0.19407724987424607
