row_idx,y,p,NCT_ID,Disease,Drug_Clean,Phase,endpoint_physiology_score,disease_is_oncology,is_combination,is_surrogate_pass,is_onc_cytotoxic_mono,efficacy_surgical_pass,surgical_reason,is_offmech,effect_size_uncertainty,confidence_tier,p_cap,p_adj,floor_applied,cap_applied
33,1,0.4228149965465895,NCT04635059,Biochemical Relapse After Definitive Treatment for Prostate Cancer,pacritinib,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.4228149965465895,0.4228149965465895,0,0
34,1,0.914414930708378,NCT04944784,Amyotrophic Lateral Sclerosis,Reldesemtiv,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.914414930708378,0.914414930708378,0,0
35,1,0.27026571092001517,NCT04311502,HIV; Tuberculosis,rifapentine,Phase 2,0,0,1,0,0,0,,0,18,reliable,0.27026571092001517,0.27026571092001517,0,0
36,1,0.38282446259788705,NCT04720664,Breast Cancer,SM-88,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.38282446259788705,0.38282446259788705,0,0
38,1,0.5581804136090392,NCT04551053,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,parsaclisib,Phase 3,0,0,1,0,0,0,,0,18,reliable,0.5581804136090392,0.5581804136090392,0,0
39,1,0.5008614855948903,NCT04551066,Myelofibrosis; Primary Myelofibrosis; Post Essential Thrombocythemia Myelofibrosis; Post Polycythemia Vera Myelofibrosis,parsaclisib,Phase 3,0,0,1,0,0,0,,0,18,reliable,0.5008614855948903,0.5008614855948903,0,0
40,1,0.9941297077523504,NCT04393038,COVID-19,ABX464,Phase 2/3,0,0,0,0,0,0,,0,35,reliable,0.9941297077523504,0.9941297077523504,0,0
42,1,0.8364187676688841,NCT04534283,Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,abemaciclib,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.8364187676688841,0.8364187676688841,0,0
45,1,0.9863531657001687,NCT04504734,Covid19,Bucillamine,Phase 3,0,0,0,0,0,0,,0,18,reliable,0.9863531657001687,0.9863531657001687,0,0
48,1,0.776585246383246,NCT04173273,Crohn's Disease,etrasimod,Phase 3,0,0,0,0,0,0,,0,52,low_confidence,0.776585246383246,0.776585246383246,0,0
49,1,0.7692301554466519,NCT04578548,Autosomal Dominant Polycystic Kidney Disease,GLPG2737,Phase 2,-1,0,0,0,0,0,,1,29,reliable,0.7692301554466519,0.7692301554466519,1,0
55,1,0.9785983904246163,NCT04534283,Cancer; Cancer Metastatic; BRAF V600E; MEK1 Gene Mutation; MEK2 Gene Mutation; ERK Mutation; RAF1 Gene Mutation,LY3214996,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.9785983904246163,0.9785983904246163,0,0
56,1,0.5421005104822849,NCT04447235,Cancer Patients With COVID-19 Infection,losartan,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.5421005104822849,0.5421005104822849,0,0
58,1,0.756041064255998,NCT04271475,Chronic Thromboembolic Pulmonary Hypertension,macitentan,Phase 3,1,0,0,0,0,0,,0,22,reliable,0.756041064255998,0.756041064255998,0,0
59,1,0.9929489372794219,NCT04523090,COVID-19,nitazoxanide,Phase 2/3,0,0,0,0,0,0,,0,35,reliable,0.9929489372794219,0.9929489372794219,0,0
61,1,0.9855721464863982,NCT04504032,COVID-19,rivaroxaban,Phase 2,0,0,0,0,0,0,,0,35,reliable,0.9855721464863982,0.9855721464863982,0,0
64,1,0.31916429624062426,NCT04459715,Cell Carcinoma,Xevinapant,Phase 3,0,1,1,0,0,0,,0,15,reliable,0.31916429624062426,0.31916429624062426,0,0
67,1,0.14176031070280223,NCT03942419,Myopia,atropine,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.14176031070280223,0.14176031070280223,0,0
69,1,0.6884410987992065,NCT03340727,Apnea of Prematurity,caffeine,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.6884410987992065,0.6884410987992065,0,0
70,1,0.6851894915185938,NCT03890120,Primary Sclerosing Cholangitis,Cilofexor,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.6851894915185938,0.6851894915185938,0,0
71,1,0.3460448386249938,NCT03926624,"Leukemia, Myeloid, Acute",DFP-10917,Phase 3,0,1,1,0,0,0,,0,18,reliable,0.3460448386249938,0.3460448386249938,0,0
73,1,0.4059006816663893,NCT03791398,metastatic colorectal cancer,Dose ONC201,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.4059006816663893,0.4059006816663893,0,0
74,1,0.3275664311165606,NCT02644525,Loiasis,imatinib,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.3275664311165606,0.3275664311165606,0,0
77,1,0.32336162242826866,NCT04163900,Tract Cancer,NUC-1031,Phase 3,0,1,1,0,0,0,,0,15,reliable,0.32336162242826866,0.32336162242826866,0,0
78,1,0.0010363444391619236,NCT03955471,Ovarian Cancer,niraparib,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.0010363444391619236,0.0010363444391619236,0,0
79,1,0.6332536284956878,NCT03762265,Pemphigus,Rilzabrutinib,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.6332536284956878,0.6332536284956878,0,0
80,1,0.09904746872838431,NCT03682055,Nasopharyngeal Carcinoma,VK-2019,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.09904746872838431,0.09904746872838431,0,0
83,1,0.33509197849023126,NCT03599622,Granulomatous Colitis; Crohn's Disease; Crohn's Enteritis; Granulomatous Enteritis,BMS-986165,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.33509197849023126,0.33509197849023126,0,0
86,1,0.5878139534938296,NCT03645603,Withdrawal Syndrome,Dexmedetomidine,Phase 2,0,0,0,0,0,0,,0,59,low_confidence,0.5878139534938296,0.5878139534938296,0,0
88,1,0.6294044691107284,NCT03372603,Cough,GSK2798745,Phase 2,0,0,0,0,0,0,,0,42,reliable,0.6294044691107284,0.6294044691107284,0,0
89,1,0.46926243579523896,NCT03628391,Delirium; Critical Illness; Intensive Care Psychosis; Cognitive Impairment; Cognitive Decline,haloperidol,Phase 3,0,0,0,0,0,0,,0,65,low_confidence,0.46926243579523896,0.46926243579523896,0,0
90,1,0.7749224735565763,NCT03506373,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,ibrutinib,Phase 2,0,0,1,0,0,0,,0,18,reliable,0.7749224735565763,0.7749224735565763,0,0
91,1,0.8379027790966636,NCT03506373,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,ixazomib citrate,Phase 2,0,0,1,0,0,0,,0,18,reliable,0.8379027790966636,0.8379027790966636,0,0
93,1,0.5318061186050134,NCT03467217,NAFLD - Nonalcoholic Fatty Liver Disease,losartan,Phase 2,0,0,0,0,0,0,,0,29,reliable,0.5318061186050134,0.5318061186050134,0,0
94,1,0.8552473276163314,NCT03572478,Endometrial Cancer,rucaparib,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.8552473276163314,0.8552473276163314,0,0
96,1,0.4704878540831821,NCT03530293,Tourette Syndrome,valbenazine,Phase 2,0,0,0,0,0,0,,0,62,low_confidence,0.4704878540831821,0.4704878540831821,0,0
98,1,0.14859540110773165,NCT03523728,"Polycystic Kidney, Autosomal Dominant",Venglustat,Phase 2/3,-1,0,0,0,0,0,,1,44,reliable,0.14859540110773165,0.5,1,0
99,1,0.020188696891270036,NCT03517566,Atopic Dermatitis,ZPL389,Phase 2,0,0,0,0,0,0,,0,52,low_confidence,0.020188696891270036,0.020188696891270036,0,0
100,1,0.46135585159793785,NCT03690141,Prostate Cancer,eFT508,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.46135585159793785,0.46135585159793785,0,0
104,1,0.5886733906960162,NCT03131206,Lung Cancer,alectinib,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.5886733906960162,0.5886733906960162,0,0
106,1,0.9862202710268193,NCT02587962,Solid Tumors,birinapant,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.9862202710268193,0.9862202710268193,0,0
107,1,0.01362918514984544,NCT03028740,Nonalcoholic Steatohepatitis,Cenicriviroc,Phase 3,0,0,0,0,0,0,,0,29,reliable,0.01362918514984544,0.01362918514984544,0,0
110,1,0.6030690816897162,NCT03170232,Disease Progression in Chronic Obstructive Pulmonary Disease,Danirixin,Phase 2,0,0,1,0,0,0,,0,42,reliable,0.6030690816897162,0.6030690816897162,0,0
111,1,0.5466949078099353,NCT03063203,Acute Myeloid Leukemia,decitabine,Phase 2,0,1,0,0,1,1,oncology_cytotoxic_monotherapy,0,24,reliable,0.15,0.15,0,1
112,1,0.6987983596521976,NCT03071692,diabeTes,K-877,Phase 3,0,0,0,0,0,0,,0,25,reliable,0.6987983596521976,0.6987983596521976,0,0
113,1,0.9928017374464057,NCT02972658,Alzheimer's Disease,Lanabecestat,Phase 3,0,0,0,0,0,0,,0,60,low_confidence,0.9928017374464057,0.9928017374464057,0,0
114,1,0.02835277196181335,NCT02932475,Type 2 Diabetes,metformin,Phase 3,0,0,0,0,0,0,,0,25,reliable,0.02835277196181335,0.02835277196181335,0,0
115,1,0.3238496099728055,NCT02902484,Advanced Pancreatic Cancer,nintedanib,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.3238496099728055,0.3238496099728055,0,0
116,1,0.5270372208606385,NCT03176277,Acute Leukemia,ONO-7475 once daily,Phase 2,0,1,1,0,0,0,,0,18,reliable,0.5270372208606385,0.5270372208606385,0,0
117,1,0.031778353219325234,NCT02907918,Breast Cancer,Palbociclib,Phase 2,0,1,1,0,0,0,,0,22,reliable,0.031778353219325234,0.031778353219325234,0,0
118,1,0.9692270404669914,NCT03151408,Acute Myeloid Leukemia,Pracinostat,Phase 3,0,1,1,0,0,0,,0,24,reliable,0.9692270404669914,0.9692270404669914,0,0
121,1,0.6540709937497841,NCT02960217,Glucose Transporter Type 1 Deficiency Syndrome (Glut1 DS),UX007,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.6540709937497841,0.6540709937497841,0,0
122,1,0.5929195422495825,NCT03154333,epidermolysis bullosa,diacerein 1%,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.5929195422495825,0.5929195422495825,0,0
124,1,0.4463208477877593,NCT02771626,With Melanoma,CB-839,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.4463208477877593,0.4463208477877593,0,0
125,1,0.46237462382548883,NCT02858362,Duchenne Muscular Dystrophy,Ezutromid,Phase 2,0,0,0,0,0,0,,0,32,reliable,0.46237462382548883,0.46237462382548883,0,0
126,1,0.41985628935334585,NCT02641639,Subjects With Platinum Resistant Ovarian Cancer,Fosbretabulin,Phase 2/3,0,1,0,0,1,1,oncology_cytotoxic_monotherapy,0,15,reliable,0.15,0.15,0,1
127,1,0.688393915074254,NCT02603146,Rheumatoid Arthritis,hydroxychloroquine,Phase 2,0,0,0,0,0,0,,0,52,low_confidence,0.688393915074254,0.688393915074254,0,0
128,1,0.9812754696675082,NCT02817906,Alzheimer's Disease,lumateperone,Phase 3,0,0,0,0,0,0,,0,60,low_confidence,0.9812754696675082,0.9812754696675082,0,0
129,1,0.3996993080658898,NCT02703272,Hodgkin Lymphoma,ibrutinib,Phase 3,0,1,1,0,0,0,,0,18,reliable,0.3996993080658898,0.3996993080658898,0,0
130,1,0.4668707257504682,NCT02814019,Duchenne Muscular Dystrophy (DMD),idebenone,Phase 3,0,0,0,0,0,0,,0,32,reliable,0.4668707257504682,0.4668707257504682,0,0
131,1,0.9958674307862662,NCT02783573,Alzheimer's Disease,Lanabecestat,Phase 3,0,0,0,0,0,0,,0,60,low_confidence,0.9958674307862662,0.9958674307862662,0,0
132,1,0.31594875136845246,NCT02587351,Chronic Obstructive Pulmonary Disease,metoprolol,Phase 3,-1,0,0,0,0,0,,1,50,low_confidence,0.31594875136845246,0.5,1,0
133,0,0.1823043385685303,NCT02847650,Parkinson's Disease,PF-06649751,Phase 2,0,0,0,0,0,0,,0,58,low_confidence,0.1823043385685303,0.1823043385685303,0,0
134,1,0.42051612217627177,NCT02862600,"Cardiomyopathy, Hypertrophic; Cardiomyopathy, Hypertrophic, Familial",perhexiline,Phase 2,0,0,0,0,0,0,,0,22,reliable,0.42051612217627177,0.42051612217627177,0,0
135,1,0.3004257163588317,NCT02691182,Attention Deficit Hyperactivity Disorder (ADHD),SPN-810,Phase 3,0,0,0,0,0,0,,0,62,low_confidence,0.3004257163588317,0.3004257163588317,0,0
136,1,0.32416617512226986,NCT02779777,Myelodysplastic Syndromes,Tipifarnib,Phase 2,0,0,0,0,0,0,,0,18,reliable,0.32416617512226986,0.32416617512226986,0,0
137,1,0.4496318370385374,NCT02687815,Asthma,vitamin D3,Phase 2,-1,0,0,0,0,0,,1,50,low_confidence,0.4496318370385374,0.5,1,0
138,1,0.570474879235278,NCT02372578,Painful Diabetic Peripheral Neuropathy (PDPN),ASP3662,Phase 2,0,0,1,0,0,0,,0,19,reliable,0.570474879235278,0.570474879235278,0,0
139,1,0.993437290156628,NCT02449655,Advanced Gastric Adenocarcinoma,AZD2014,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.993437290156628,0.993437290156628,0,0
140,1,0.9950687534774861,NCT02449655,Advanced Gastric Adenocarcinoma,AZD5363,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.9950687534774861,0.9950687534774861,0,0
143,1,0.5760703761036556,NCT02699385,Gastroenteritis,Domperidone,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.5760703761036556,0.5760703761036556,0,0
144,1,0.6326928357697851,NCT02418000,AML; MDS; CMML,E6201,Phase 2,0,0,0,0,0,0,,0,15,reliable,0.6326928357697851,0.6326928357697851,0,0
146,1,0.3477674933327991,NCT02368691,Breast Cancer,GTx-024,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.3477674933327991,0.3477674933327991,0,0
147,1,0.9723313026267494,NCT02545283,Acute Myeloid Leukemia,Idasanutlin,Phase 3,0,1,1,0,0,0,,0,24,reliable,0.9723313026267494,0.9723313026267494,0,0
149,1,0.7997127472600616,NCT02443337,Lung Cancer,LY3023414,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.7997127472600616,0.7997127472600616,0,0
150,1,0.4763172989764951,NCT02332928,for Cancer,melatonin,Phase 3,0,1,0,0,0,0,,0,15,reliable,0.4763172989764951,0.4763172989764951,0,0
153,1,0.5546093628291077,NCT02393209,Lung Cancer,TAK-117,Phase 2,0,1,1,0,0,0,,0,22,reliable,0.5546093628291077,0.5546093628291077,0,0
154,1,0.5414111690764161,NCT02449681,Treatment of Patients With Recurrent or Metastatic Squamous Cell Carcinoma,TH-4000 (Tarloxotinib),Phase 2,0,1,0,0,0,0,,0,15,reliable,0.5414111690764161,0.5414111690764161,0,0
155,1,0.33455823341189606,NCT02454842,Lung Cancer,TH-4000 (Tarloxotinib),Phase 2,0,1,0,0,0,0,,0,22,reliable,0.33455823341189606,0.33455823341189606,0,0
156,1,0.5076614217899252,NCT02418572,Infertility; Poor Ovarian Response,testosterone,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.5076614217899252,0.5076614217899252,0,0
157,1,0.6233357054193389,NCT02599961,Glucose Transporter Type 1 Deficiency Syndrome,UX007,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.6233357054193389,0.6233357054193389,0,0
159,1,0.6615479458849294,NCT02454855,Metastatic Cancer,melatonin,Phase 3,0,1,0,0,0,0,,0,15,reliable,0.6615479458849294,0.6615479458849294,0,0
160,1,0.7928258223194358,NCT02095717,Prostate Cancer,Curcumin,Phase 2,0,1,1,0,0,0,,0,22,reliable,0.7928258223194358,0.7928258223194358,0,0
163,1,0.9945042390689587,NCT02245737,Alzheimer's Disease,Lanabecestat,Phase 2/3,0,0,0,0,0,0,,0,60,low_confidence,0.9945042390689587,0.9945042390689587,0,0
164,1,0.9492646806389086,NCT02100007,Solid Tumors,ME-344,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.9492646806389086,0.9492646806389086,0,0
165,1,0.9850865827815184,NCT02313909,Stroke,rivaroxaban,Phase 3,0,0,1,0,0,0,,0,22,reliable,0.9850865827815184,0.9850865827815184,0,0
166,1,0.7526272018872155,NCT02119676,Colorectal Cancer,ruxolitinib,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.7526272018872155,0.7526272018872155,0,0
168,1,0.4328651457258956,NCT02147873,Myelodysplastic Syndrome (MDS); Chronic Myelomonocytic Leukemia (CMML),birinapant,Phase 2,0,1,1,0,0,0,,0,18,reliable,0.4328651457258956,0.4328651457258956,0,0
170,1,0.40475696002746053,NCT02138786,Richter's Transformation,selinexor,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.40475696002746053,0.40475696002746053,0,0
171,1,0.6185962275722904,NCT01756053,Nicotine Addiction,ABT-089,Phase 2,0,0,0,0,0,0,,0,59,low_confidence,0.6185962275722904,0.6185962275722904,0,0
172,1,0.2951644421319136,NCT01793298,Asthma,ASM-024,Phase 2,0,0,0,0,0,0,,0,50,low_confidence,0.2951644421319136,0.2951644421319136,0,0
173,1,0.9920411731520261,NCT01907815,Acute Myeloid Leukemia,Akt Inhibitor GSK2141795,Phase 2,0,1,1,0,0,0,,0,24,reliable,0.9920411731520261,0.9920411731520261,0,0
174,1,0.6323597368193844,NCT02029274,Active Dermatomyositis,siponimod,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.6323597368193844,0.6323597368193844,0,0
175,1,0.3683964563895475,NCT02204332,Metastatic Colorectal Cancer,Cabazitaxel,Phase 2,0,1,0,0,1,1,oncology_cytotoxic_monotherapy,0,15,reliable,0.15,0.15,0,1
176,1,0.39664794199323294,NCT01980199,Visceral Leishmaniasis,fexinidazole,Phase 2,0,0,0,0,0,0,,0,20,reliable,0.39664794199323294,0.39664794199323294,0,0
177,1,0.9951999958056701,NCT01777256,Systemic Lupus Erythematosus,GSK2586184,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.9951999958056701,0.9951999958056701,0,0
178,1,0.7706125384297149,NCT01798485,NSCLC,Ganetespib,Phase 3,0,1,1,0,0,0,,0,15,reliable,0.7706125384297149,0.7706125384297149,0,0
180,1,0.027873159135241445,NCT01805791,Ulcerative Colitis,HMPL-004,Phase 3,0,0,0,0,0,0,,0,50,low_confidence,0.027873159135241445,0.027873159135241445,0,0
181,1,0.5777618983448252,NCT01774604,Post-ERCP Acute Pancreatitis,Indomethacin,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.5777618983448252,0.5777618983448252,0,0
182,1,0.7051802870780847,NCT01862224,Rheumatoid Arthritis,JNJ-38518168,Phase 2,0,0,1,0,0,0,,0,52,low_confidence,0.7051802870780847,0.7051802870780847,0,0
183,1,0.5238650865239648,NCT01849874,Peritoneal Cancer,"MEK162, MEK inhibitor",Phase 3,0,1,0,0,0,0,,0,15,reliable,0.5238650865239648,0.5238650865239648,0,0
184,1,0.9978864983752039,NCT01852110,Alzheimer's Disease,MK-7622,Phase 2,0,0,1,0,0,0,,0,60,low_confidence,0.9978864983752039,0.9978864983752039,0,0
185,1,0.1418151957226097,NCT01794000,Sickle Cell Disease,prasugrel,Phase 3,0,0,0,0,0,0,,0,32,reliable,0.1418151957226097,0.1418151957226097,0,0
186,1,0.9063200854737243,NCT01865084,"Muscular Dystrophy, Duchenne",tadalafil,Phase 3,-1,0,0,0,0,0,,1,32,reliable,0.9063200854737243,0.9063200854737243,1,0
188,1,0.9878679591052674,NCT01907815,Acute Myeloid Leukemia,trametinib,Phase 2,0,1,1,0,0,0,,0,24,reliable,0.9878679591052674,0.9878679591052674,0,0
189,1,0.9161164927120197,NCT01944943,cell Lymphoma,Vismodegib,Phase 2,0,1,0,0,0,0,,0,18,reliable,0.9161164927120197,0.9161164927120197,0,0
190,1,0.4187528864072426,NCT01870609,Malignant Pleural Mesothelioma,defactinib (VS-6063),Phase 2,0,1,0,0,0,0,,0,15,reliable,0.4187528864072426,0.4187528864072426,0,0
191,1,0.4792815365888242,NCT01318642,Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,AMG,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.4792815365888242,0.4792815365888242,0,0
192,1,0.7552773677912313,NCT01646125,NSCLC,AUY922,Phase 2,0,1,1,0,0,0,,0,15,reliable,0.7552773677912313,0.7552773677912313,0,0
195,1,0.4807566608557804,NCT01571895,Bullous Pemphigoid,DF2156A,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.4807566608557804,0.4807566608557804,0,0
196,1,0.6488994325497803,NCT01514864,Advanced Cancer,Dasatinib,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.6488994325497803,0.6488994325497803,0,0
197,1,0.5723576336852262,NCT01719861,Lung Cancer,desipramine,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.5723576336852262,0.5723576336852262,0,0
198,1,0.46064215745200776,NCT01975727,Postoperative Nausea and Vomiting; Vomiting,dexamethasone,Phase 2,0,0,0,0,0,0,,0,75,low_confidence,0.46064215745200776,0.46064215745200776,0,0
199,1,0.5873328223499492,NCT01687998,Cardiovascular Diseases,Evacetrapib,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.5873328223499492,0.5873328223499492,0,0
200,1,0.5976008819868573,NCT01679951,Rheumatoid Arthritis,JNJ-38518168,Phase 2,0,0,1,0,0,0,,0,52,low_confidence,0.5976008819868573,0.5976008819868573,0,0
201,1,0.6190212411183011,NCT01687478,Treatment-resistant Depression,olanzapine,Phase 3,0,0,1,0,0,0,,0,78,low_confidence,0.6190212411183011,0.6190212411183011,0,0
202,1,0.4438158753636062,NCT01771198,Rhinosinusitis,simvastatin,Phase 2,0,0,0,0,0,0,,0,42,reliable,0.4438158753636062,0.4438158753636062,0,0
204,1,0.0636287021731714,NCT01709734,Prostate Cancer,galeterone,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.0636287021731714,0.0636287021731714,0,0
208,1,0.5412221579538066,NCT01385293,Prostate Cancer,BKM120,Phase 2,0,1,0,0,0,0,,0,22,reliable,0.5412221579538066,0.5412221579538066,0,0
212,1,0.6295555818861062,NCT01316939,Crohn's Disease,GSK1605786A,Phase 3,0,0,0,0,0,0,,0,52,low_confidence,0.6295555818861062,0.6295555818861062,0,0
214,1,0.46667847034941234,NCT01405846,Lung Cancer; Head and Neck Cancer,gefitinib,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.46667847034941234,0.46667847034941234,0,0
215,1,0.06021715494355996,NCT01103583,Multiple Sclerosis,hydroxyurea,Phase 2/3,0,0,0,0,0,0,,0,50,low_confidence,0.06021715494355996,0.06021715494355996,0,0
216,1,0.5194100999120534,NCT01467076,newborn respiratory distress syndrome,Inhaled PGE1,Phase 2,0,0,0,0,0,0,,0,44,reliable,0.5194100999120534,0.5194100999120534,0,0
219,1,0.5463290424915479,NCT01275248,Obsessive-compulsive Disorder,ondansetron,Phase 2,0,0,0,0,0,0,,0,78,low_confidence,0.5463290424915479,0.5463290424915479,0,0
220,1,0.7963362695581324,NCT01391611,Gastrointestinal Stromal Tumor (GIST),pazopanib eye drops,Phase 2,0,1,0,0,0,0,,0,15,reliable,0.7963362695581324,0.7963362695581324,0,0
221,1,0.31899924499206067,NCT01287221,Multiple System Atrophy,rifampin,Phase 3,0,0,0,0,0,0,,0,44,reliable,0.31899924499206067,0.31899924499206067,0,0
