NCT_ID,Disease,y,p,p_adj,efficacy_surgical_pass
NCT03734016,Chronic Lymphocytic Leukemia,0,0.005697811647170538,0.005697811647170538,0
NCT05320575,hemophagocytic lymphohistiocytosis,0,0.299610432952163,0.15,1
NCT03112174,Cell Lymphoma,0,0.7723844244289788,0.7723844244289788,0
NCT02959944,Chronic Graft Versus Host Disease,1,0.5712724837270897,0.5712724837270897,0
NCT02301156,Chronic Lymphocytic Leukemia,0,0.017312960384017737,0.017312960384017737,0
NCT01722487,Chronic Lymphocytic Leukemia; Small Lymphocytic Lymphoma,0,0.0030212479007217983,0.0030212479007217983,0
NCT02947347,Follicular Lymphoma,0,0.006980739525514675,0.006980739525514675,0
NCT03474679,Graft vs Host Disease,0,0.3363268185291055,0.3363268185291055,0
NCT02703272,Hodgkin Lymphoma,1,0.3996993080658898,0.3996993080658898,0
NCT02436668,Metastatic Pancreatic Adenocarcinoma,0,0.11042069340174751,0.11042069340174751,0
NCT02950051,Previously Untreated Chronic Lymphocytic Leukemia,0,0.08289727967185867,0.08289727967185867,0
NCT03506373,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,1,0.7749224735565763,0.7749224735565763,0
NCT01973387,Refractory Chronic Leukemia,0,0.420472001446116,0.420472001446116,0
NCT02863718,Risk of Disease,0,0.5160333732221227,0.5160333732221227,0
NCT03053440,Waldenström's Macroglobulinemia,0,0.281315181047122,0.281315181047122,0
NCT02332447,epilepsy,1,0.005903850983496627,0.005903850983496627,0
NCT04433390,constipation,0,0.02794579224371325,0.02794579224371325,0
NCT01535859,Prevention of Ovarian Hyperstimulation Syndrome,0,0.5848531185359225,0.5848531185359225,0
NCT03271918,non-functioning pituitary adenoma,0,0.39479746756405715,0.39479746756405715,0
NCT01719770,cardiac arrest,0,0.04523445736443598,0.04523445736443598,0
NCT04008706,Chronic Lymphocytic Leukemia,0,0.004492960611461866,0.004492960611461866,0
NCT03111212,acute respiratory distress syndrome,1,0.5012168357233746,0.5012168357233746,0
NCT03788837,septic shock,1,0.138455162147058,0.138455162147058,0
NCT02376075,Arterial Hypertension; Albuminuria,0,0.5742795365689656,0.5742795365689656,0
NCT03429543,Diabetes,0,0.11770325499369443,0.11770325499369443,1
NCT02897349,"Diabetes Mellitus, Type 2",0,0.0011250137987953994,0.0011250137987953994,1
NCT02851745,Type 2 DiAbetes Mellitus,1,0.4599444816251519,0.4599444816251519,0
NCT01734785,Type 2 Diabetes,0,0.0057205653416988345,0.0057205653416988345,1
NCT02453555,Type 2 Diabetes Mellitus,0,0.010515979482578824,0.010515979482578824,1
NCT01087502,diabetes Mellitus,0,0.0011185317963395545,0.0011185317963395545,0
NCT01436279,cervical ripening,0,0.04935621368210875,0.04935621368210875,0
NCT02985229,medical abortion,0,0.0016403858532056496,0.0016403858532056496,0
NCT01371565,pituitary-dependent Cushing's disease,0,0.013117656131257796,0.013117656131257796,0
NCT02012491,spontaneous abortion,0,0.3065840953071543,0.3065840953071543,0
NCT02972658,Alzheimer's Disease,1,0.99439113576721,0.99439113576721,0
NCT04925960,Pmm2-CDG; Phosphomannomutase 2 Deficiency; Phosphomannomutase 2 Congenital Disorder of Glycosylation; Phosphomannomutase II Congenital Disorder of Glycosylation; Phosphomannomutase II Deficiency,1,0.6509413888424069,0.6509413888424069,0
NCT03232398,Acute Myocardial Infarction; Left Ventricular Thrombosis; Anticoagulants and Bleeding Disorders,0,0.31429586309881186,0.31429586309881186,0
NCT01758640,Anticoagulation in Pregnancy,0,0.04062060715818093,0.04062060715818093,0
NCT01182441,Atrial Fibrillation; Stroke,0,0.41037876188175526,0.41037876188175526,0
NCT01516840,Deep Vein Thrombosis,0,0.4962637037195548,0.4962637037195548,0
NCT03153150,"Intracranial Hemorrhages; Intracranial Hemorrhage, Hypertensive; Subarachnoid Hemorrhage; Subdural Hematoma; Intraventricular Hemorrhage; Atrial Fibrillation; Atrial Flutter; Small Vessel Cerebrovascular Disease; Microhaemorrhage",0,0.0019455680824843218,0.0019455680824843218,0
NCT05705089,Left Ventricular Thrombus; ST Segment Elevation Myocardial Infarction,0,0.22037698980854112,0.22037698980854112,0
NCT01516814,Pulmonary Embolism,0,0.35917270594629847,0.35917270594629847,0
NCT01130025,in Cancer,0,0.0021370652032648733,0.0021370652032648733,0
NCT03320486,tinea pedis,0,0.06729492761099137,0.06729492761099137,0
NCT03621280,Cushing syndrome,0,0.003410965438075933,0.003410965438075933,0
NCT04123405,rhinosinusitis,0,0.5245382401746393,0.5245382401746393,0
NCT01606319,Asthma; Wheezing,0,0.02432418902269363,0.02432418902269363,0
NCT03554018,Low Back Pain,0,0.0038359917120465853,0.0038359917120465853,0
NCT03584373,Nephrolithiasis,0,0.1721099206409931,0.1721099206409931,0
NCT05761574,Pain,0,0.11066350028628244,0.11066350028628244,0
NCT04429022,"Pain, Postoperative",0,0.0014760714949305464,0.0014760714949305464,0
NCT01907815,Acute Myeloid Leukemia,1,0.9878679591052674,0.9878679591052674,0
NCT01597908,Cutaneous Melanoma,0,0.4217300545291131,0.4217300545291131,0
NCT03551626,Malignant Melanoma,0,0.4571586158799536,0.4571586158799536,0
NCT01584648,mutant Melanoma,0,0.6256835668970335,0.6256835668970335,0
NCT01682083,positive Melanoma,0,0.02047265433928615,0.02047265433928615,0
NCT01318642,Adenocarcinoma of the Pancreas; Locally Advanced; Unresectable,1,0.4792815365888242,0.4792815365888242,0
NCT01059448,rheumatoid arthritis,1,0.39057291521198934,0.39057291521198934,0
NCT03505489,asthma,0,0.11251587534243193,0.11251587534243193,0
NCT01853072,Non-Proliferative Diabetic Retinopathy; Cataract,0,0.36620850685194684,0.36620850685194684,0
NCT01843530,ACE inhibitor-induced angioedema,0,0.49524068851816516,0.49524068851816516,0
NCT03794505,Shoulder Arthritis,0,0.33364894947646173,0.33364894947646173,0
NCT01572038,Advanced Breast Cancer,0,0.2593567106505322,0.15,1
NCT01414608,Advanced Cervical Cancer,0,0.48517958406790457,0.15,1
NCT03691090,Advanced Esophageal Cancer,0,0.42174989715874533,0.15,1
NCT03594747,Advanced Lung Cancer,0,0.0328850109342381,0.0328850109342381,1
NCT04472429,Anal Carcinoma,0,0.6543244209783472,0.15,1
NCT03726879,Breast Cancer,0,0.2989720743138715,0.15,1
NCT03957590,Cell Carcinoma,0,0.23184049687547587,0.15,1
NCT06781073,Cervical Carcinoma,0,0.45636032884335564,0.15,1
NCT02835586,Critical Ischemia,0,0.4510127417379611,0.4510127417379611,0
NCT01583426,Early Breast Cancer,0,0.5092778132178226,0.15,1
NCT02214381,Early Primary Breast Cancer,0,0.4320282773373066,0.15,1
NCT02501954,Endometrial Clear Cell Adenocarcinoma; Endometrial Serous Adenocarcinoma; Stage IIIA Uterine Corpus Cancer; Stage IIIB Uterine Corpus Cancer; Stage IIIC Uterine Corpus Cancer; Stage IVA Uterine Corpus Cancer,0,0.2811573809885549,0.15,1
NCT01196390,Esophageal Cancer,0,0.024189052461576828,0.024189052461576828,1
NCT02370498,Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma,0,0.0024414720685227344,0.0024414720685227344,1
NCT01839773,Gastric Cancer,0,0.004055362231369668,0.004055362231369668,1
NCT01248403,Gastric Carcinoma,0,0.482630999666008,0.15,1
NCT02898077,Gastroesophageal Cancer,0,0.5701344635487924,0.15,1
NCT02178956,Junction Cancer,0,0.6475126603254587,0.15,1
NCT05318443,Lung Cancer,0,0.39554485727899635,0.15,1
NCT03199885,Metastatic Breast Cancer,0,0.024753604385408322,0.024753604385408322,1
NCT03635567,Metastatic Cervical Cancer,0,0.5322176070958561,0.15,1
NCT04540211,Metastatic Esophageal Carcinoma,0,0.6964773204343386,0.15,1
NCT03943667,Metastatic Pancreatic Adenocarcinoma,0,0.01151054325405492,0.01151054325405492,0
NCT02364999,NSCLC,0,0.11779235535948859,0.11779235535948859,1
NCT01166542,Neck Cancer,0,0.009071456223656687,0.009071456223656687,1
NCT02125344,Neoadjuvant Treatment of Patients With High-risk Early Breast Cancer,0,0.47938652382455427,0.15,1
NCT03940196,Ovarian Cancer,0,0.2624411236008547,0.15,1
NCT04177108,Participants With Locally Advanced or Metastatic Triple-Negative Breast Cancer,0,0.44755828013282767,0.15,1
NCT03064126,"Peripheral Artery Disease; Atherosclerosis; Artery Diseases, Peripheral; Plaque, Atherosclerotic; Occlusive Arterial Disease",0,0.3755471444991228,0.3755471444991228,0
NCT01966471,Primary Breast Cancer,0,0.25950701927667497,0.15,1
NCT03635489,Primary Peritoneal Cancer,0,0.005190921894638373,0.005190921894638373,1
NCT04031703,Triple Negative Breast Cancer,0,0.3559668845200856,0.15,1
NCT01517802,Metastatic Castration-resistant Prostate Cancer; Metastatic Breast Cancer,0,0.36912211043950266,0.36912211043950266,0
NCT04056754,Prostate Cancer,0,0.6299916553607434,0.6299916553607434,0
NCT03009981,Relapsed Prostate Cancer,0,0.003717103676822675,0.003717103676822675,0
NCT01422720,epilepsy,0,0.004637069045678121,0.004637069045678121,0
NCT03118297,contraception,0,0.015894796382699097,0.015894796382699097,0
NCT03675139,endometrial hyperplasia,0,0.5703827605870436,0.5703827605870436,0
NCT01291433,radiation-induced brachial plexopathy,0,0.6223736704616468,0.6223736704616468,0
NCT01609647,Acute Coronary Syndrome,0,0.20949548476683927,0.15,1
NCT01774838,Acute Coronary Syndrome; Unstable Angina,0,0.30431015304980974,0.30431015304980974,0
NCT01641510,Acute Coronary Syndromes,0,0.0016242890535330793,0.0016242890535330793,1
NCT01560780,Coronary Artery Bypass,1,0.6230404823388269,0.6230404823388269,0
NCT01543932,Coronary Artery Disease,0,0.0014393734732594593,0.0014393734732594593,1
NCT01304472,Coronary Artery Disease (CAD),0,0.05785483541714962,0.05785483541714962,1
NCT01109784,Coronary Artery Disease (CAD); Acute Coronary Syndrome (ACS),0,0.22813130283752164,0.15,1
NCT01531114,Diabetes Mellitus,0,0.002797177767157296,0.002797177767157296,1
NCT01155765,Hemodialysis; Chronic Renal Failure,0,0.3176843659064122,0.15,1
NCT01338909,Myocardial Infarction,0,0.8474166135042479,0.15,1
NCT01327534,Myocardial Infarction; STEMI,0,0.5142923270168076,0.15,1
NCT01336348,ST Segment Elevation Myocardial Infarction,0,0.4520041583867796,0.15,1
NCT01794000,Sickle Cell Disease,1,0.1418151957226097,0.1418151957226097,0
NCT01982240,chronic idiopathic constipation,0,0.28570646044544834,0.28570646044544834,0
NCT02980562,inflammatory bowel disease,0,0.19912059481607963,0.19912059481607963,0
NCT03154333,epidermolysis bullosa,1,0.5929195422495825,0.5929195422495825,0
NCT04523090,COVID-19,1,0.98777612384549,0.98777612384549,0
NCT04359680,COVID-19; Viral Respiratory Illnesses,1,0.21078034995505548,0.21078034995505548,0
NCT03605862,Enterovirus; Rhinovirus,1,0.232941075322075,0.232941075322075,0
NCT03336619,Influenza,1,0.22449399979409088,0.22449399979409088,0
NCT02354352,Duchenne Muscular Dystrophy,0,0.8361413377052515,0.15,1
NCT06413082,Hypertension,0,0.004441035337208956,0.004441035337208956,1
NCT03048825,ST Elevation Myocardial Infarction,1,0.9551267574298204,0.9551267574298204,0
NCT03334682,acne vulgaris,0,0.08928798466093919,0.08928798466093919,0
NCT01853553,autosomal dominant polycystic kidney disease,0,0.6238711696042731,0.6238711696042731,0
NCT01062763,diabetes mellitus,0,0.46785266533080716,0.15,1
NCT01848639,end-stage kidney disease,1,0.6408572649915988,0.6408572649915988,0
NCT01059136,myocardial infarction,1,0.5005539816836629,0.5005539816836629,0
NCT02989519,preterm labor and delivery,0,0.1444594462637238,0.1444594462637238,0
NCT02128685,threatened miscarriage,1,0.7401553667048963,0.7401553667048963,0
NCT01143064,Brain Injuries,0,0.5942993986440106,0.5942993986440106,0
NCT04414761,IVF; GnRH Antagonist; PPOS,0,0.45166352042248015,0.45166352042248015,0
NCT06091436,Infertility,0,0.023552151674968602,0.023552151674968602,0
NCT04537078,"Infertility, Female",0,0.4552817521927849,0.4552817521927849,0
NCT01942668,Menopause,0,0.005851237282339728,0.005851237282339728,0
NCT02697331,Preterm Birth; Twin Dichorionic Diamniotic Placenta,0,0.4895977339272227,0.4895977339272227,0
NCT00822900,Traumatic Brain Injury,1,0.9981676262827237,0.9981676262827237,0
NCT04209543,Vasomotor Symptoms; Menopausal Symptoms,0,0.737202327970233,0.737202327970233,0
NCT03572933,CDKL5 deficiency disorder,0,0.7272052064106875,0.15,1
NCT01963208,drug-resistant focal epilepsy,1,0.7695226280573424,0.7695226280573424,0
NCT04391569,status epilepticus,0,0.3164301498836638,0.3164301498836638,0
NCT05323734,tuberous sclerosis,1,0.5248362122385961,0.5248362122385961,0
NCT02907918,Breast Cancer,1,0.031778353219325234,0.031778353219325234,0
NCT05019521,Geographic Atrophy,1,0.5363913338257558,0.5363913338257558,0
NCT04469465,Paroxysmal Nocturnal Hemoglobinuria,0,0.6187293436304919,0.6187293436304919,0
NCT01986361,acute pharyngitis,0,0.5658569980849032,0.5658569980849032,0
NCT01779271,Fever,0,0.0012321695306972223,0.0012321695306972223,0
NCT03585374,Acute Traumatic Pain,0,0.5542796289458607,0.5542796289458607,0
NCT02905045,Pain Relief,0,0.21835307268791268,0.21835307268791268,0
NCT03762265,Pemphigus,1,0.6332536284956878,0.6332536284956878,0
NCT05237284,Amyotrophic Lateral Sclerosis,1,0.9144568074727178,0.9144568074727178,0
NCT05692154,seasonal allergic rhinitis,0,0.25932323994873513,0.25932323994873513,0
NCT02297945,Cushing syndrome,0,0.000666000730068099,0.000666000730068099,0
NCT01375920,Depression,1,0.48270272334359615,0.48270272334359615,0
NCT03191903,Osteoarthritis,0,0.10975339076315642,0.10975339076315642,0
NCT03004469,androgenetic alopecia,0,0.6287681091925104,0.6287681091925104,0
NCT02505971,capillary infantile hemangioma,0,0.5890908814710208,0.5890908814710208,0
NCT03137303,COPD,0,0.012207728495500798,0.012207728495500798,0
NCT02885636,Congestive heart failure,0,0.8056197986798622,0.8056197986798622,0
NCT02949193,Diabetes,0,0.04938424527842038,0.04938424527842038,1
NCT03915860,acne vulgaris,0,0.04791104681811806,0.04791104681811806,0
NCT03068312,cystic fibrosis,0,0.0833592347534966,0.0833592347534966,0
NCT01316939,Crohn's Disease,1,0.6295555818861062,0.6295555818861062,0
NCT03067441,Hypercholesterolemia,0,0.10780956252647561,0.10780956252647561,0
NCT03001076,Hypercholesterolemia; Atherosclerosis; Statin Adverse Reaction,0,0.4399547521687115,0.15,1
NCT03337308,Hyperlipidemias,0,0.0655208493847754,0.0655208493847754,1
NCT03436420,Non-Alcoholic Fatty Liver Disease,1,0.39649924921643953,0.39649924921643953,0
NCT02558829,growth hormone deficiency,0,0.39114357249328024,0.39114357249328024,0
NCT04786873,isolated growth hormone deficiency type IA,0,0.22503961574522974,0.22503961574522974,0
NCT03374956,Obesity,0,0.003642666267987148,0.003642666267987148,1
NCT03523728,"Polycystic Kidney, Autosomal Dominant",1,0.14859540110773165,0.14859540110773165,0
NCT03372603,Cough,1,0.6294044691107284,0.6294044691107284,0
NCT04504734,Covid19,1,0.9863531657001687,0.9863531657001687,0
NCT01349010,hyperlipidemia,0,0.22231995756692716,0.22231995756692716,0
NCT04377711,COVID-19,1,0.9516696270301115,0.9516696270301115,0
NCT01248065,asthma,0,0.34721848874138334,0.34721848874138334,0
NCT01401465,perennial allergic rhinitis,0,0.0007048317406840104,0.0007048317406840104,0
NCT02155881,seasonal allergic rhinitis,1,0.002740348534691908,0.002740348534691908,0
NCT02614482,Overactive Bladder Syndrome,0,0.1881064057099611,0.1881064057099611,0
NCT03968159,Major Depressive Disorder,1,0.4518070003783917,0.4518070003783917,0
NCT03575052,neuropsychiatric symptoms of neurodegenerative disease,0,0.21253578348725286,0.21253578348725286,0
NCT04531982,schizophrenia,1,0.4258708815712005,0.4258708815712005,0
NCT03941860,Multiple Myeloma,0,0.020821820317377008,0.020821820317377008,0
NCT03506373,Recurrent Waldenstrom Macroglobulinemia; Refractory Waldenstrom Macroglobulinemia; Waldenstrom Macroglobulinemia,1,0.8379027790966636,0.8379027790966636,0
NCT02272725,Acute Kidney Injury; Exercise-associated Hyponatremia; Perceived Exertion,0,0.46220651647416755,0.46220651647416755,0
NCT03571737,Acute Musculoskeletal Disease; Sprains; Sprains and Strains; Injuries; Emergencies; Trauma; Acute Pain,0,0.4048122018658469,0.4048122018658469,0
NCT01171794,Altitude Sickness,0,0.40944770096401495,0.40944770096401495,0
NCT01606319,Asthma; Wheezing,0,0.024172762507932388,0.024172762507932388,0
NCT01462370,Dysmenorrhea,0,0.11138129858495767,0.11138129858495767,0
NCT01002573,Fever,0,0.002076218843804149,0.002076218843804149,0
NCT01567072,Forearm Fracture,0,0.5347727515765647,0.5347727515765647,0
NCT03404518,"Outpatient Surgery; Pain, Postoperative",0,0.45347357221417217,0.45347357221417217,0
NCT01755728,PDA,0,0.44773933134451627,0.44773933134451627,0
NCT02863575,Pain,0,0.07839694852396002,0.07839694852396002,0
NCT06948513,Pain Management,0,0.07348914239986044,0.07348914239986044,0
NCT01929031,"Pain, Postoperative; Tooth Diseases",0,0.08868456800393391,0.08868456800393391,0
NCT02477007,Pain; Long-bone Fractures,0,0.7601678681069023,0.7601678681069023,0
NCT03022253,Patent Ductus Arteriosus,0,0.322734958746271,0.322734958746271,0
NCT04037514,Patent Ductus Arteriosus After Premature Birth,0,0.7542686781189848,0.7542686781189848,0
NCT02441530,Primary Dysmenorrhoea,0,0.47740652871830935,0.47740652871830935,0
NCT05254990,Infectious Pneumonia; Severe COVID-19,1,0.4167707151931991,0.4167707151931991,0
NCT02135419,Anal Cancer,0,0.043904867062165065,0.043904867062165065,0
NCT02059499,Anal Intraepithelial Neoplasia; High-grade Squamous Intraepithelial Lesion; HIV Infection,0,0.2464273230336135,0.2464273230336135,0
NCT02120898,actinic keratosis,0,0.0037640486470810657,0.0037640486470810657,0
NCT01861535,cervical intraepithelial neoplasia,0,0.23045453527541224,0.23045453527541224,0
NCT02385188,extramammary Paget disease,0,0.48026832714696965,0.48026832714696965,0
NCT02394132,lentigo maligna melanoma,0,0.3217743684379119,0.3217743684379119,0
NCT03689244,Chronic Thromboembolic Pulmonary Hypertension,1,0.7585239938073574,0.7585239938073574,0
NCT04565990,"Hypertension, Pulmonary",0,0.012171583052696963,0.012171583052696963,0
NCT02558231,Pulmonary Arterial Hypertension,1,0.02268227183316187,0.02268227183316187,0
NCT02342275,hemangioma,0,0.3256613830954695,0.3256613830954695,0
NCT03917914,COPD,1,0.0535453713872794,0.0535453713872794,0
NCT05175066,Cardiomyopathies; Chemotherapy Effect; Diastolic Dysfunction; Systolic Dysfunction,0,0.4446675711805102,0.15,1
NCT02262143,mixed dyslipidemia,0,0.002680806445939749,0.002680806445939749,1
NCT02823353,primary biliary cirrhosis,0,0.47756870009262153,0.47756870009262153,0
NCT03001817,severe hypertriglyceridemia,0,0.2606589727643221,0.15,1
NCT01087671,open-angle glaucoma,0,0.000854482159887,0.000854482159887,0
NCT02914509,open-angle glaucoma,0,0.004087634705652705,0.004087634705652705,0
NCT03419975,open-angle glaucoma,0,0.0015331432875176688,0.0015331432875176688,0
NCT03440385,Crohn disease,1,0.5156719024889368,0.5156719024889368,0
NCT02294058,Multiple Sclerosis,0,0.08867923433794482,0.08867923433794482,0
NCT03915769,ulcerative colitis,0,0.5782321722995829,0.5782321722995829,0
NCT01316107,type 2 diabetes mellitus,0,0.0016286298487128217,0.0016286298487128217,1
NCT02679261,Bicuspid Aortic Valve,1,0.4551842333195209,0.4551842333195209,0
NCT01820767,Chronic Kidney Disease,0,0.18092957477672975,0.18092957477672975,0
NCT01946815,Coronary Artery Disease,0,0.0035201628358456963,0.0035201628358456963,0
NCT02662569,Diabetes,0,0.15767757519814635,0.15767757519814635,0
NCT02586155,"Diabetes Mellitus, Type 2; Coronary Artery Disease",0,0.4559704645888911,0.4559704645888911,0
NCT02084069,Heart Valve Diseases,0,0.2951429786219206,0.2951429786219206,0
NCT03415178,Hypercholesterolaemia,0,0.3232460485216007,0.3232460485216007,0
NCT03768427,Hypercholesterolemia,0,0.021686870034745034,0.021686870034745034,0
NCT03433196,Hypercholesterolemia in Coronaory Heart Disease,0,0.23959367265853398,0.23959367265853398,0
NCT02135029,Hyperlipidemia,0,0.03799789624367999,0.03799789624367999,1
NCT01953328,Hyperlipidemia or Mixed Dyslipidemia at High Risk for Cardiovascular Events,0,0.3493455984911519,0.15,1
NCT01543555,Myocardial Infarction; Peripheral Vascular Disease; Aortic Aneurism,0,0.4687860716102773,0.4687860716102773,0
NCT01278459,Pre-Eclampsia,0,0.44108330580287164,0.44108330580287164,0
NCT02189837,Primary Hyperlipidemia and Mixed Dyslipidemia,0,0.3022886100030077,0.3022886100030077,0
NCT02522117,Renal Insufficiency,0,0.17267820569158504,0.17267820569158504,0
NCT01236365,Type 1 Diabetes,0,0.6511709453686716,0.6511709453686716,0
NCT03956355,plaque psoriasis,0,0.35945107263006626,0.35945107263006626,0
NCT01798485,NSCLC,1,0.7706125384297149,0.7706125384297149,0
NCT03022240,Cognitive Change; Behavior,0,0.009785205224185588,0.009785205224185588,0
NCT04400201,sedation,0,0.06666191237142181,0.06666191237142181,0
NCT04034771,traumatic brain injury,0,0.016545876908439755,0.016545876908439755,0
NCT05696509,valvular heart disease,0,0.0009287010103353145,0.0009287010103353145,0
NCT05414175,cardiomyopathy,0,0.07464274936098829,0.07464274936098829,1
NCT05174416,hypertrophic cardiomyopathy,0,0.4527747527348248,0.15,1
NCT03036813,sickle cell disease,0,0.41502004338149856,0.41502004338149856,0
NCT04166331,Sepsis,0,0.09977169624607465,0.09977169624607465,0
NCT02133105,cardiorenal syndrome,0,0.6672324620445751,0.6672324620445751,0
NCT01827293,Peripheral Vertigo.,0,0.017994404729219638,0.017994404729219638,0
NCT04720664,Breast Cancer,1,0.38282446259788705,0.38282446259788705,0
NCT03342027,HIV; Smoking Cessation,0,0.4793221845255536,0.4793221845255536,0
NCT02741791,Major Depressive Disorder,0,0.30638895858541126,0.30638895858541126,0
NCT01303861,Nicotine Dependence,0,0.001472787499631496,0.001472787499631496,0
NCT04388319,Smoking Cessation,0,0.0006064280144648358,0.0006064280144648358,0
NCT01809691,Metastatic Prostate Cancer,0,0.04837091152229947,0.04837091152229947,0
NCT02085252,Prostate Cancer,0,0.15379159553647836,0.15379159553647836,0
NCT02363998,opioid withdrawal,0,0.33118085521176444,0.33118085521176444,0
NCT01638247,Breast Cancer,0,0.2017579101360943,0.2017579101360943,0
NCT03354039,Duchenne Muscular Dystrophy,1,0.9268472237444574,0.9268472237444574,0
NCT03917719,Duchenne Muscular Dystrophy,1,0.6557001426102993,0.6557001426102993,0
NCT02407782,scabies,0,0.35116254184877027,0.35116254184877027,0
NCT05027802,fibrodysplasia ossificans progressiva,0,0.16517307898086447,0.16517307898086447,0
NCT04509622,Acute Myeloid Leukemia,0,0.7754659172399997,0.7754659172399997,0
NCT03112174,Cell Lymphoma,0,0.6621715064593483,0.6621715064593483,0
NCT04285567,Chronic Lymphocytic Leukemia,0,0.0051793267851392944,0.0051793267851392944,0
NCT02755597,Multiple Myeloma,0,0.012705214887090421,0.012705214887090421,0
NCT02950051,Previously Untreated Chronic Lymphocytic Leukemia,0,0.04122323136655346,0.04122323136655346,0
NCT02980731,Your Cancer,0,0.494303059034661,0.15,1
NCT01777256,Systemic Lupus Erythematosus,1,0.9951999958056701,0.9951999958056701,0
NCT02629848,Advanced Non-Squamous Non-Small Cell Lung Cancer,1,0.619354584737542,0.619354584737542,0
NCT04607122,atrial fibrillation,1,0.8604969327087575,0.8604969327087575,0
NCT02022930,Osteoarthritis,0,0.007534740883873088,0.007534740883873088,0
NCT01572350,diabetic macular edema,0,0.0013141424950334339,0.0013141424950334339,0
NCT01356602,gout,0,0.08780014208705755,0.08780014208705755,0
NCT02873026,ocular trauma,0,0.41383055047004,0.41383055047004,0
NCT02329600,oral lichen planus,0,0.22266545048786943,0.22266545048786943,0
NCT02828163,pemphigus vulgaris,0,0.24244507849653152,0.24244507849653152,0
NCT01304706,diabetic macular edema,0,0.000904356507641365,0.000904356507641365,0
NCT02201251,Epilepsy,0,0.32892823287326006,0.15,1
NCT02273804,Obese Children and Adolescents,0,0.6721808298158554,0.15,1
NCT02249767,acne,0,0.3558901367265062,0.3558901367265062,0
NCT01406080,photoaging,0,0.0030734859404209364,0.0030734859404209364,0
NCT01474590,Acne,0,0.210083059071704,0.210083059071704,0
NCT03515096,Thrombocytopenia,0,0.05091503245489885,0.05091503245489885,0
NCT03939637,immune thrombocytopenia,0,0.23678931327554545,0.23678931327554545,0
NCT05438875,purpura,0,0.12240496699136258,0.12240496699136258,1
NCT02099747,severe aplastic anemia,0,0.29177713869867744,0.29177713869867744,0
NCT01411176,gastric cancer,0,0.13014875386801839,0.13014875386801839,0
NCT03735979,ischemic stroke,0,0.28643449893674766,0.28643449893674766,0
NCT02935530,venous thromboembolism,0,0.010181998446177587,0.010181998446177587,0
NCT01131273,HIV infection,0,0.030764794094814585,0.030764794094814585,0
NCT02502175,Medication-assisted Treatment of Opioid Use Disorder,0,0.4848628010018299,0.4848628010018299,0
NCT02558010,Pain,0,0.12753423651585538,0.12753423651585538,0
NCT01958476,neonatal abstinence syndrome,0,0.0659092011946798,0.0659092011946798,0
NCT03065309,hypotension,0,0.002135320670662143,0.002135320670662143,0
