ik14,rank,transcript,union_max,parent_score,metab_score
AYXYPKUFHZROOJ,24,ENST00000356970,1.0,0.7451,1.0
AYXYPKUFHZROOJ,25,ENST00000354955,1.0,0.7451,1.0
AYXYPKUFHZROOJ,26,ENST00000537958,1.0,0.7451,1.0
AYXYPKUFHZROOJ,27,ENST00000404406,1.0,0.7451,1.0
AYXYPKUFHZROOJ,28,ENST00000216797,1.0,0.7451,1.0
AYXYPKUFHZROOJ,29,ENST00000375615,1.0,0.7451,1.0
AYXYPKUFHZROOJ,30,ENST00000538630,1.0,0.7451,1.0
AYXYPKUFHZROOJ,31,ENST00000343975,1.0,0.7451,1.0
AYXYPKUFHZROOJ,32,ENST00000566433,1.0,0.7451,1.0
AYXYPKUFHZROOJ,33,ENST00000262776,1.0,0.7451,1.0
AYXYPKUFHZROOJ,34,ENST00000675018,1.0,0.7451,1.0
AYXYPKUFHZROOJ,35,ENST00000334047,1.0,0.7451,1.0
AYXYPKUFHZROOJ,36,ENST00000312553,1.0,0.7451,1.0
AYXYPKUFHZROOJ,37,ENST00000408946,1.0,0.7451,1.0
AYXYPKUFHZROOJ,38,ENST00000696580,1.0,0.7451,1.0
AYXYPKUFHZROOJ,39,ENST00000377928,1.0,0.7451,1.0
AYXYPKUFHZROOJ,40,ENST00000700106,1.0,0.7451,1.0
AYXYPKUFHZROOJ,41,ENST00000688285,1.0,0.7451,1.0
AYXYPKUFHZROOJ,42,ENST00000553342,1.0,0.7451,1.0
AYXYPKUFHZROOJ,43,ENST00000584394,1.0,0.7451,1.0
AYXYPKUFHZROOJ,44,ENST00000601951,1.0,0.7451,1.0
AYXYPKUFHZROOJ,45,ENST00000454002,1.0,0.7451,1.0
AYXYPKUFHZROOJ,46,ENST00000675956,1.0,0.7451,1.0
AYXYPKUFHZROOJ,47,ENST00000244174,1.0,0.7451,1.0
AYXYPKUFHZROOJ,48,ENST00000491190,1.0,0.7451,1.0
AYXYPKUFHZROOJ,49,ENST00000372318,1.0,0.7451,1.0
AZEXWHKOMMASPA,0,ENST00000675784,1.0,0,1.0
AZEXWHKOMMASPA,1,ENST00000481781,1.0,0,1.0
AZEXWHKOMMASPA,2,ENST00000374837,1.0,0,1.0
AZEXWHKOMMASPA,3,ENST00000339091,1.0,0,1.0
AZEXWHKOMMASPA,4,ENST00000351486,1.0,0,1.0
AZEXWHKOMMASPA,5,ENST00000465073,1.0,0,1.0
AZEXWHKOMMASPA,6,ENST00000389568,1.0,0,1.0
AZEXWHKOMMASPA,7,ENST00000685104,1.0,0,1.0
AZEXWHKOMMASPA,8,ENST00000316752,1.0,0,1.0
AZEXWHKOMMASPA,9,ENST00000295030,1.0,0,1.0
AZEXWHKOMMASPA,10,ENST00000696899,1.0,0,1.0
AZEXWHKOMMASPA,11,ENST00000376624,1.0,0,1.0
AZEXWHKOMMASPA,12,ENST00000328381,1.0,0,1.0
AZEXWHKOMMASPA,13,ENST00000381389,1.0,0,1.0
AZEXWHKOMMASPA,14,ENST00000645063,1.0,0,1.0
AZEXWHKOMMASPA,15,ENST00000699251,1.0,0,1.0
AZEXWHKOMMASPA,16,ENST00000366592,1.0,0,1.0
AZEXWHKOMMASPA,17,ENST00000643466,1.0,0,1.0
AZEXWHKOMMASPA,18,ENST00000684074,1.0,0,1.0
AZEXWHKOMMASPA,19,ENST00000265421,1.0,0,1.0
AZEXWHKOMMASPA,20,ENST00000268668,1.0,0,1.0
AZEXWHKOMMASPA,21,ENST00000686776,1.0,0,1.0
AZEXWHKOMMASPA,22,ENST00000693089,1.0,0,1.0
AZEXWHKOMMASPA,23,ENST00000172229,1.0,0,1.0
AZEXWHKOMMASPA,24,ENST00000356970,1.0,0,1.0
AZEXWHKOMMASPA,25,ENST00000354955,1.0,0,1.0
AZEXWHKOMMASPA,26,ENST00000537958,1.0,0,1.0
AZEXWHKOMMASPA,27,ENST00000404406,1.0,0,1.0
AZEXWHKOMMASPA,28,ENST00000216797,1.0,0,1.0
AZEXWHKOMMASPA,29,ENST00000375615,1.0,0,1.0
AZEXWHKOMMASPA,30,ENST00000538630,1.0,0,1.0
AZEXWHKOMMASPA,31,ENST00000343975,1.0,0,1.0
AZEXWHKOMMASPA,32,ENST00000566433,1.0,0,1.0
AZEXWHKOMMASPA,33,ENST00000262776,1.0,0,1.0
AZEXWHKOMMASPA,34,ENST00000675018,1.0,0,1.0
AZEXWHKOMMASPA,35,ENST00000334047,1.0,0,1.0
AZEXWHKOMMASPA,36,ENST00000312553,1.0,0,1.0
AZEXWHKOMMASPA,37,ENST00000408946,1.0,0,1.0
AZEXWHKOMMASPA,38,ENST00000696580,1.0,0,1.0
AZEXWHKOMMASPA,39,ENST00000377928,1.0,0,1.0
AZEXWHKOMMASPA,40,ENST00000700106,1.0,0,1.0
AZEXWHKOMMASPA,41,ENST00000688285,1.0,0,1.0
AZEXWHKOMMASPA,42,ENST00000553342,1.0,0,1.0
AZEXWHKOMMASPA,43,ENST00000584394,1.0,0,1.0
AZEXWHKOMMASPA,44,ENST00000601951,1.0,0,1.0
AZEXWHKOMMASPA,45,ENST00000454002,1.0,0,1.0
AZEXWHKOMMASPA,46,ENST00000675956,1.0,0,1.0
AZEXWHKOMMASPA,47,ENST00000244174,1.0,0,1.0
AZEXWHKOMMASPA,48,ENST00000491190,1.0,0,1.0
AZEXWHKOMMASPA,49,ENST00000372318,1.0,0,1.0
BQJCRHHNABKAKU,0,ENST00000675784,1.0,0,1.0
BQJCRHHNABKAKU,1,ENST00000481781,1.0,0,1.0
BQJCRHHNABKAKU,2,ENST00000374837,1.0,0,1.0
BQJCRHHNABKAKU,3,ENST00000339091,1.0,0,1.0
BQJCRHHNABKAKU,4,ENST00000351486,1.0,0,1.0
BQJCRHHNABKAKU,5,ENST00000465073,1.0,0,1.0
BQJCRHHNABKAKU,6,ENST00000389568,1.0,0,1.0
BQJCRHHNABKAKU,7,ENST00000685104,1.0,0,1.0
BQJCRHHNABKAKU,8,ENST00000316752,1.0,0,1.0
BQJCRHHNABKAKU,9,ENST00000295030,1.0,0,1.0
BQJCRHHNABKAKU,10,ENST00000696899,1.0,0,1.0
BQJCRHHNABKAKU,11,ENST00000376624,1.0,0,1.0
BQJCRHHNABKAKU,12,ENST00000328381,1.0,0,1.0
BQJCRHHNABKAKU,13,ENST00000381389,1.0,0,1.0
BQJCRHHNABKAKU,14,ENST00000645063,1.0,0,1.0
BQJCRHHNABKAKU,15,ENST00000699251,1.0,0,1.0
BQJCRHHNABKAKU,16,ENST00000366592,1.0,0,1.0
BQJCRHHNABKAKU,17,ENST00000643466,1.0,0,1.0
BQJCRHHNABKAKU,18,ENST00000684074,1.0,0,1.0
BQJCRHHNABKAKU,19,ENST00000265421,1.0,0,1.0
BQJCRHHNABKAKU,20,ENST00000268668,1.0,0,1.0
BQJCRHHNABKAKU,21,ENST00000686776,1.0,0,1.0
BQJCRHHNABKAKU,22,ENST00000693089,1.0,0,1.0
BQJCRHHNABKAKU,23,ENST00000519941,1.0,0,1.0
BQJCRHHNABKAKU,24,ENST00000172229,1.0,0,1.0
BQJCRHHNABKAKU,25,ENST00000356970,1.0,0,1.0
BQJCRHHNABKAKU,26,ENST00000354955,1.0,0,1.0
BQJCRHHNABKAKU,27,ENST00000537958,1.0,0,1.0
BQJCRHHNABKAKU,28,ENST00000404406,1.0,0,1.0
BQJCRHHNABKAKU,29,ENST00000216797,1.0,0,1.0
BQJCRHHNABKAKU,30,ENST00000375615,1.0,0,1.0
BQJCRHHNABKAKU,31,ENST00000538630,1.0,0,1.0
BQJCRHHNABKAKU,32,ENST00000343975,1.0,0,1.0
BQJCRHHNABKAKU,33,ENST00000566433,1.0,0,1.0
BQJCRHHNABKAKU,34,ENST00000262776,1.0,0,1.0
BQJCRHHNABKAKU,35,ENST00000675018,1.0,0,1.0
BQJCRHHNABKAKU,36,ENST00000334047,1.0,0,1.0
BQJCRHHNABKAKU,37,ENST00000312553,1.0,0,1.0
BQJCRHHNABKAKU,38,ENST00000408946,1.0,0,1.0
BQJCRHHNABKAKU,39,ENST00000696580,1.0,0,1.0
BQJCRHHNABKAKU,40,ENST00000377928,1.0,0,1.0
BQJCRHHNABKAKU,41,ENST00000700106,1.0,0,1.0
BQJCRHHNABKAKU,42,ENST00000688285,1.0,0,1.0
BQJCRHHNABKAKU,43,ENST00000553342,1.0,0,1.0
BQJCRHHNABKAKU,44,ENST00000584394,1.0,0,1.0
BQJCRHHNABKAKU,45,ENST00000601951,1.0,0,1.0
BQJCRHHNABKAKU,46,ENST00000454002,1.0,0,1.0
BQJCRHHNABKAKU,47,ENST00000675956,1.0,0,1.0
BQJCRHHNABKAKU,48,ENST00000244174,1.0,0,1.0
BQJCRHHNABKAKU,49,ENST00000491190,1.0,0,1.0
BSYNRYMUTXBXSQ,0,ENST00000421687,1.0,0,1.0
BSYNRYMUTXBXSQ,1,ENST00000699718,1.0,0,1.0
BSYNRYMUTXBXSQ,2,ENST00000646468,1.0,0,1.0
BSYNRYMUTXBXSQ,3,ENST00000645065,1.0,0,1.0
BSYNRYMUTXBXSQ,4,ENST00000675846,1.0,0,1.0
BSYNRYMUTXBXSQ,5,ENST00000686024,1.0,0,1.0
BSYNRYMUTXBXSQ,6,ENST00000692693,1.0,0,1.0
BSYNRYMUTXBXSQ,7,ENST00000689211,1.0,0,1.0
BSYNRYMUTXBXSQ,8,ENST00000406955,1.0,0,1.0
BSYNRYMUTXBXSQ,9,ENST00000406361,1.0,0,1.0
BSYNRYMUTXBXSQ,10,ENST00000401975,1.0,0,1.0
BSYNRYMUTXBXSQ,11,ENST00000402369,1.0,0,1.0
BSYNRYMUTXBXSQ,12,ENST00000402321,1.0,0,1.0
BSYNRYMUTXBXSQ,13,ENST00000338911,1.0,0,1.0
BSYNRYMUTXBXSQ,14,ENST00000381848,1.0,0,1.0
BSYNRYMUTXBXSQ,15,ENST00000395827,1.0,0,1.0
BSYNRYMUTXBXSQ,16,ENST00000380909,1.0,0,1.0
BSYNRYMUTXBXSQ,17,ENST00000303434,1.0,0,1.0
BSYNRYMUTXBXSQ,18,ENST00000389617,0.9999,0,0.9999
BSYNRYMUTXBXSQ,19,ENST00000676637,0.9999,0,0.9999
BSYNRYMUTXBXSQ,20,ENST00000444272,0.9999,0,0.9999
BSYNRYMUTXBXSQ,21,ENST00000678528,0.9999,0,0.9999
BSYNRYMUTXBXSQ,22,ENST00000355238,0.9999,0,0.9999
BSYNRYMUTXBXSQ,23,ENST00000705347,0.9999,0,0.9999
BSYNRYMUTXBXSQ,24,ENST00000584650,0.9999,0,0.9999
BSYNRYMUTXBXSQ,25,ENST00000674700,0.9998,0,0.9998
BSYNRYMUTXBXSQ,26,ENST00000677771,0.9998,0,0.9998
BSYNRYMUTXBXSQ,27,ENST00000678878,0.9998,0,0.9998
BSYNRYMUTXBXSQ,28,ENST00000677059,0.9998,0,0.9998
BSYNRYMUTXBXSQ,29,ENST00000676542,0.9998,0,0.9998
BSYNRYMUTXBXSQ,30,ENST00000610597,0.9998,0,0.9998
BSYNRYMUTXBXSQ,31,ENST00000530467,0.9998,0,0.9998
BSYNRYMUTXBXSQ,32,ENST00000527038,0.9998,0,0.9998
BSYNRYMUTXBXSQ,33,ENST00000441735,0.9998,0,0.9998
BSYNRYMUTXBXSQ,34,ENST00000318663,0.9998,0,0.9998
BSYNRYMUTXBXSQ,35,ENST00000306735,0.9998,0,0.9998
BSYNRYMUTXBXSQ,36,ENST00000677006,0.9998,0,0.9998
BSYNRYMUTXBXSQ,37,ENST00000616122,0.9997,0,0.9997
BSYNRYMUTXBXSQ,38,ENST00000396641,0.9997,0,0.9997
BSYNRYMUTXBXSQ,39,ENST00000417744,0.9997,0,0.9997
BSYNRYMUTXBXSQ,40,ENST00000456208,0.9997,0,0.9997
BSYNRYMUTXBXSQ,41,ENST00000648296,0.9997,0,0.9997
BSYNRYMUTXBXSQ,42,ENST00000417570,0.9996,0,0.9996
BSYNRYMUTXBXSQ,43,ENST00000479896,0.9996,0,0.9996
BSYNRYMUTXBXSQ,44,ENST00000646930,0.9995,0,0.9995
BSYNRYMUTXBXSQ,45,ENST00000715150,0.9995,0,0.9995
BSYNRYMUTXBXSQ,46,ENST00000572888,0.9995,0,0.9995
BSYNRYMUTXBXSQ,47,ENST00000393847,0.9995,0,0.9995
BSYNRYMUTXBXSQ,48,ENST00000675143,0.9994,0,0.9994
BSYNRYMUTXBXSQ,49,ENST00000539524,0.9994,0,0.9994
CDAISMWEOUEBRE,0,ENST00000513998,0.8775,0,0.8775
CDAISMWEOUEBRE,1,ENST00000389017,0.877,0,0.877
CDAISMWEOUEBRE,2,ENST00000435339,0.8597,0,0.8597
CDAISMWEOUEBRE,3,ENST00000614823,0.8597,0,0.8597
CDAISMWEOUEBRE,4,ENST00000542587,0.8584,0,0.8584
CDAISMWEOUEBRE,5,ENST00000407877,0.8584,0,0.8584
CDAISMWEOUEBRE,6,ENST00000586703,0.8584,0,0.8584
CDAISMWEOUEBRE,7,ENST00000648426,0.8577,0,0.8577
CDAISMWEOUEBRE,8,ENST00000579112,0.8473,0,0.8473
CDAISMWEOUEBRE,9,ENST00000246115,0.8393,0,0.8393
CDAISMWEOUEBRE,10,ENST00000515206,0.8356,0,0.8356
CDAISMWEOUEBRE,11,ENST00000319540,0.8331,0,0.8331
CDAISMWEOUEBRE,12,ENST00000645668,0.8304,0,0.8304
CDAISMWEOUEBRE,13,ENST00000646641,0.8303,0,0.8303
CDAISMWEOUEBRE,14,ENST00000472273,0.8288,0,0.8288
CDAISMWEOUEBRE,15,ENST00000491019,0.8251,0,0.8251
CDAISMWEOUEBRE,16,ENST00000681565,0.8238,0,0.8238
CDAISMWEOUEBRE,17,ENST00000648480,0.8224,0,0.8224
CDAISMWEOUEBRE,18,ENST00000475289,0.8224,0,0.8224
CDAISMWEOUEBRE,19,ENST00000649383,0.8224,0,0.8224
CDAISMWEOUEBRE,20,ENST00000305352,0.8224,0,0.8224
CDAISMWEOUEBRE,21,ENST00000649513,0.8215,0,0.8215
CDAISMWEOUEBRE,22,ENST00000439028,0.8214,0,0.8214
CDAISMWEOUEBRE,23,ENST00000333430,0.8214,0,0.8214
CDAISMWEOUEBRE,24,ENST00000584202,0.8167,0,0.8167
CDAISMWEOUEBRE,25,ENST00000358157,0.8156,0,0.8156
CDAISMWEOUEBRE,26,ENST00000375846,0.8156,0,0.8156
CDAISMWEOUEBRE,27,ENST00000538627,0.8152,0,0.8152
CDAISMWEOUEBRE,28,ENST00000361910,0.8152,0,0.8152
CDAISMWEOUEBRE,29,ENST00000539247,0.8152,0,0.8152
CDAISMWEOUEBRE,30,ENST00000507647,0.8147,0,0.8147
CDAISMWEOUEBRE,31,ENST00000609336,0.8141,0,0.8141
CDAISMWEOUEBRE,32,ENST00000642953,0.8127,0,0.8127
CDAISMWEOUEBRE,33,ENST00000345941,0.8116,0,0.8116
CDAISMWEOUEBRE,34,ENST00000378434,0.8116,0,0.8116
CDAISMWEOUEBRE,35,ENST00000620633,0.8116,0,0.8116
CDAISMWEOUEBRE,36,ENST00000361641,0.8089,0,0.8089
CDAISMWEOUEBRE,37,ENST00000441349,0.8068,0,0.8068
CDAISMWEOUEBRE,38,ENST00000591768,0.8009,0,0.8009
CDAISMWEOUEBRE,39,ENST00000395258,0.7974,0,0.7974
CDAISMWEOUEBRE,40,ENST00000373864,0.7966,0,0.7966
CDAISMWEOUEBRE,41,ENST00000474602,0.7963,0,0.7963
CDAISMWEOUEBRE,42,ENST00000343431,0.7962,0,0.7962
CDAISMWEOUEBRE,43,ENST00000237937,0.7962,0,0.7962
CDAISMWEOUEBRE,44,ENST00000376962,0.7962,0,0.7962
CDAISMWEOUEBRE,45,ENST00000376960,0.7962,0,0.7962
CDAISMWEOUEBRE,46,ENST00000565352,0.796,0,0.796
CDAISMWEOUEBRE,47,ENST00000217073,0.7955,0,0.7955
CDAISMWEOUEBRE,48,ENST00000713912,0.7954,0,0.7954
CDAISMWEOUEBRE,49,ENST00000713903,0.7954,0,0.7954
CMSMOCZEIVJLDB,0,ENST00000675784,1.0,0.8114,1.0
CMSMOCZEIVJLDB,1,ENST00000481781,1.0,0.8114,1.0
CMSMOCZEIVJLDB,2,ENST00000374837,1.0,0.8114,1.0
CMSMOCZEIVJLDB,3,ENST00000339091,1.0,0.8114,1.0
CMSMOCZEIVJLDB,4,ENST00000351486,1.0,0.8114,1.0
CMSMOCZEIVJLDB,5,ENST00000465073,1.0,0.8114,1.0
CMSMOCZEIVJLDB,6,ENST00000389568,1.0,0.8114,1.0
CMSMOCZEIVJLDB,7,ENST00000685104,1.0,0.8114,1.0
CMSMOCZEIVJLDB,8,ENST00000316752,1.0,0.8114,1.0
CMSMOCZEIVJLDB,9,ENST00000295030,1.0,0.8114,1.0
CMSMOCZEIVJLDB,10,ENST00000696899,1.0,0.8114,1.0
CMSMOCZEIVJLDB,11,ENST00000376624,1.0,0.8114,1.0
CMSMOCZEIVJLDB,12,ENST00000328381,1.0,0.8114,1.0
CMSMOCZEIVJLDB,13,ENST00000381389,1.0,0.8114,1.0
CMSMOCZEIVJLDB,14,ENST00000645063,1.0,0.8114,1.0
CMSMOCZEIVJLDB,15,ENST00000699251,1.0,0.8114,1.0
CMSMOCZEIVJLDB,16,ENST00000366592,1.0,0.8114,1.0
CMSMOCZEIVJLDB,17,ENST00000643466,1.0,0.8114,1.0
CMSMOCZEIVJLDB,18,ENST00000684074,1.0,0.8114,1.0
CMSMOCZEIVJLDB,19,ENST00000265421,1.0,0.8114,1.0
CMSMOCZEIVJLDB,20,ENST00000268668,1.0,0.8114,1.0
CMSMOCZEIVJLDB,21,ENST00000686776,1.0,0.8114,1.0
CMSMOCZEIVJLDB,22,ENST00000693089,1.0,0.8114,1.0
CMSMOCZEIVJLDB,23,ENST00000172229,1.0,0.8114,1.0
CMSMOCZEIVJLDB,24,ENST00000356970,1.0,0.8114,1.0
CMSMOCZEIVJLDB,25,ENST00000354955,1.0,0.8114,1.0
CMSMOCZEIVJLDB,26,ENST00000537958,1.0,0.8114,1.0
CMSMOCZEIVJLDB,27,ENST00000404406,1.0,0.8114,1.0
CMSMOCZEIVJLDB,28,ENST00000216797,1.0,0.8114,1.0
CMSMOCZEIVJLDB,29,ENST00000375615,1.0,0.8114,1.0
CMSMOCZEIVJLDB,30,ENST00000538630,1.0,0.8114,1.0
CMSMOCZEIVJLDB,31,ENST00000343975,1.0,0.8114,1.0
CMSMOCZEIVJLDB,32,ENST00000566433,1.0,0.8114,1.0
CMSMOCZEIVJLDB,33,ENST00000262776,1.0,0.8114,1.0
CMSMOCZEIVJLDB,34,ENST00000675018,1.0,0.8114,1.0
CMSMOCZEIVJLDB,35,ENST00000334047,1.0,0.8114,1.0
CMSMOCZEIVJLDB,36,ENST00000312553,1.0,0.8114,1.0
CMSMOCZEIVJLDB,37,ENST00000408946,1.0,0.8114,1.0
CMSMOCZEIVJLDB,38,ENST00000696580,1.0,0.8114,1.0
CMSMOCZEIVJLDB,39,ENST00000377928,1.0,0.8114,1.0
CMSMOCZEIVJLDB,40,ENST00000700106,1.0,0.8114,1.0
CMSMOCZEIVJLDB,41,ENST00000688285,1.0,0.8114,1.0
CMSMOCZEIVJLDB,42,ENST00000553342,1.0,0.8114,1.0
CMSMOCZEIVJLDB,43,ENST00000584394,1.0,0.8114,1.0
CMSMOCZEIVJLDB,44,ENST00000601951,1.0,0.8114,1.0
CMSMOCZEIVJLDB,45,ENST00000454002,1.0,0.8114,1.0
CMSMOCZEIVJLDB,46,ENST00000675956,1.0,0.8114,1.0
CMSMOCZEIVJLDB,47,ENST00000244174,1.0,0.8114,1.0
CMSMOCZEIVJLDB,48,ENST00000491190,1.0,0.8114,1.0
CMSMOCZEIVJLDB,49,ENST00000372318,1.0,0.8114,1.0
CUIHSIWYWATEQL,0,ENST00000465073,1.0,0,1.0
CUIHSIWYWATEQL,1,ENST00000389568,1.0,0,1.0
CUIHSIWYWATEQL,2,ENST00000685104,1.0,0,1.0
CUIHSIWYWATEQL,3,ENST00000316752,1.0,0,1.0
CUIHSIWYWATEQL,4,ENST00000471658,1.0,0.6457,1.0
CUIHSIWYWATEQL,5,ENST00000295030,1.0,0,1.0
CUIHSIWYWATEQL,6,ENST00000644702,1.0,0.6457,1.0
CUIHSIWYWATEQL,7,ENST00000381389,1.0,0,1.0
CUIHSIWYWATEQL,8,ENST00000699251,1.0,0,1.0
CUIHSIWYWATEQL,9,ENST00000265421,1.0,0,1.0
CUIHSIWYWATEQL,10,ENST00000693089,1.0,0,1.0
CUIHSIWYWATEQL,11,ENST00000354955,1.0,0,1.0
CUIHSIWYWATEQL,12,ENST00000404406,1.0,0,1.0
CUIHSIWYWATEQL,13,ENST00000216797,1.0,0,1.0
CUIHSIWYWATEQL,14,ENST00000538630,1.0,0,1.0
CUIHSIWYWATEQL,15,ENST00000343975,1.0,0,1.0
CUIHSIWYWATEQL,16,ENST00000262776,1.0,0,1.0
CUIHSIWYWATEQL,17,ENST00000334047,1.0,0,1.0
CUIHSIWYWATEQL,18,ENST00000312553,1.0,0,1.0
CUIHSIWYWATEQL,19,ENST00000696580,1.0,0,1.0
CUIHSIWYWATEQL,20,ENST00000688285,1.0,0,1.0
CUIHSIWYWATEQL,21,ENST00000244174,1.0,0,1.0
CUIHSIWYWATEQL,22,ENST00000372318,1.0,0,1.0
CUIHSIWYWATEQL,23,ENST00000347596,1.0,0,1.0
CUIHSIWYWATEQL,24,ENST00000326402,1.0,0,1.0
CUIHSIWYWATEQL,25,ENST00000451791,1.0,0,1.0
CUIHSIWYWATEQL,26,ENST00000517892,1.0,0,1.0
CUIHSIWYWATEQL,27,ENST00000682489,1.0,0,1.0
CUIHSIWYWATEQL,28,ENST00000393681,1.0,0,1.0
CUIHSIWYWATEQL,29,ENST00000314235,1.0,0,1.0
CUIHSIWYWATEQL,30,ENST00000397820,1.0,0,1.0
CUIHSIWYWATEQL,31,ENST00000689035,1.0,0,1.0
CUIHSIWYWATEQL,32,ENST00000233156,1.0,0,1.0
CUIHSIWYWATEQL,33,ENST00000647909,1.0,0,1.0
CUIHSIWYWATEQL,34,ENST00000216877,1.0,0,1.0
CUIHSIWYWATEQL,35,ENST00000451928,1.0,0,1.0
CUIHSIWYWATEQL,36,ENST00000327359,1.0,0,1.0
CUIHSIWYWATEQL,37,ENST00000560830,1.0,0,1.0
CUIHSIWYWATEQL,38,ENST00000421552,1.0,0,1.0
CUIHSIWYWATEQL,39,ENST00000513970,1.0,0,1.0
